form_id,form_group,utility,complexity,max_depth,selected_field_count,filter_count,output_count,relationship_count
aqf_outpatient_high_complexity_procedures_15871,Outpatient high complexity procedures,11.1113867843952,20.0,5,15,9,6,40
aqf_demographic_data_69887,Demographic data,1.5721974549861495,11.0,3,8,4,4,18
