form_id,form_group,utility,complexity,max_depth,selected_field_count,filter_count,output_count,relationship_count
aqf_outpatient_high_complexity_procedures_76772,Outpatient high complexity procedures,14.00998253693444,24.0,5,19,11,8,40
aqf_demographic_data_87033,Demographic data,0.9500649238227147,7.0,3,4,2,2,6
