operator_aware_form_id,canonical_form_id,form_group,input_field_count,output_field_count,relationship_count,operator_form_utility,max_depth
oaf_cf_outpatient_high_complexity_procedures_12201,cf_outpatient_high_complexity_procedures_12201,Outpatient high complexity procedures,8,8,417,8.034638475300092,5
oaf_cf_demographic_data_51350,cf_demographic_data_51350,Demographic data,1,1,3,0.6063019390581718,3
