method,field_count,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden
aqf_full,30,163,163,0,150.25
aqf_topk_no_threshold,30,163,163,0,150.25
flattened_topk,30,163,163,0,150.25
frequency_only,30,157,157,0,142.5
no_operator_awareness,30,330,163,167,360.0
no_pruning,35,187,187,0,172.5
random_topk_1,30,157,157,0,145.0
random_topk_10,30,161,161,0,149.0
random_topk_11,30,163,163,0,151.75
random_topk_12,30,161,161,0,149.0
random_topk_13,30,161,161,0,149.0
random_topk_14,30,163,163,0,150.75
random_topk_15,30,161,161,0,148.0
random_topk_16,30,159,159,0,146.75
random_topk_17,30,159,159,0,146.75
random_topk_18,30,157,157,0,143.0
random_topk_19,30,161,161,0,149.5
random_topk_2,30,160,160,0,148.0
random_topk_20,30,164,164,0,152.5
random_topk_21,30,160,160,0,147.5
random_topk_22,30,157,157,0,144.5
random_topk_23,30,157,157,0,144.0
random_topk_24,30,161,161,0,148.5
random_topk_25,30,163,163,0,150.75
random_topk_26,30,157,157,0,143.5
random_topk_27,30,161,161,0,149.0
random_topk_28,30,161,161,0,148.5
random_topk_29,30,157,157,0,143.5
random_topk_3,30,162,162,0,150.25
random_topk_30,30,161,161,0,148.0
random_topk_4,30,161,161,0,149.0
random_topk_5,30,157,157,0,143.0
random_topk_6,30,159,159,0,145.75
random_topk_7,30,163,163,0,150.75
random_topk_8,30,157,157,0,143.5
random_topk_9,30,163,163,0,151.25
