graph,node_count,edge_count,field_node_count,max_depth,root_cartesian_queriability,operator_count,cartesian_edge_count,weighted_operator_burden
Schema Graph,94,157,54,6.0,1.0,290.0,0,267.25
Weighted Schema Graph,94,190,54,6.0,1.0,290.0,33,267.25
Reduced Schema Graph,61,134,35,6.0,1.0,186.0,28,169.25
