node_id,node_type,label,layer,base_queriability,upward_queriability,normalized_upward_queriability,raw_cartesian_queriability,cartesian_queriability,normalized_cartesian_queriability,queriability,normalized_queriability,field_id,canonical_path,record_family,form_group,nested_subgroup,kind,dv_type,operators,coverage,effective_diversity,local_utility,specificity,aqf_visual_weight,operator_count,weighted_operator_burden,depth
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Bariatric_surgery_evaluation::Components,canonical_subgroup,Components,3,0.0,1.3036858974358974,0.05903889733513094,1.1552290537088594,0.573762408357029,0.573762408357029,0.573762408357029,0.573762408357029,,,,,,,,,,,,,,,,
field:cf_505d09ec39545c,field,duration of follow-up (months),4,0.5584935897435898,0.5584935897435898,0.02529201686698603,1.092522745159097,0.5426183486597926,0.5426183486597926,0.5426183486597926,0.5426183486597926,cf_505d09ec39545c,Bariatric surgery evaluation / Components / duration of follow-up (months),openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Bariatric surgery evaluation,Components,numeric,DV_COUNT,<;>;between;equals;is_known;is_unknown,0.5576923076923077,0.8333333333333334,0.46474358974358976,0.375,0.5584935897435898,6.0,6.0,3.0
field:cf_ac2de786b38da7,field,Baros score,4,0.37259615384615385,0.37259615384615385,0.016873440234072456,0.9577313041605104,0.47567209106267866,0.47567209106267866,0.47567209106267866,0.47567209106267866,cf_ac2de786b38da7,Bariatric surgery evaluation / Components / Baros score,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Bariatric surgery evaluation,Components,text,DV_TEXT,contains;equals;is_known;is_unknown,0.5576923076923077,0.5,0.27884615384615385,0.375,0.37259615384615385,4.0,3.25,3.0
field:cf_8f20b6e7578a41,field,Baros table,4,0.37259615384615385,0.37259615384615385,0.016873440234072456,0.9577313041605106,0.4756720910626787,0.4756720910626787,0.4756720910626787,0.4756720910626787,cf_8f20b6e7578a41,Bariatric surgery evaluation / Components / Baros table,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Bariatric surgery evaluation,Components,text,DV_TEXT,contains;equals;is_known;is_unknown,0.5576923076923077,0.5,0.27884615384615385,0.375,0.37259615384615385,4.0,3.25,3.0
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Problem/Diagnosis,canonical_group,Problem/Diagnosis,2,0.0,2.7129807692307693,0.12286041708499468,1.6005779818225079,0.7949518536305423,0.7949518536305423,0.7949518536305423,0.7949518536305423,,,,,,,,,,,,,,,,
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Problem/Diagnosis::structure,canonical_subgroup,structure,3,0.0,1.5067307692307692,0.06823401508849429,1.3654420461314303,0.6781679480316819,0.6781679480316819,0.6781679480316819,0.6781679480316819,,,,,,,,,,,,,,,,
field:cf_bd9db9ae67063d,field,Problem,4,0.425,0.425,0.019246607957316197,1.1207097600652776,0.5566178663355673,0.5566178663355673,0.5566178663355673,0.5566178663355673,cf_bd9db9ae67063d,Problem/Diagnosis / structure / Problem,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Problem/Diagnosis,structure,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.5,0.425,6.0,5.5,4.0
field:cf_4e7e8ca2916a1e,field,Secondary Diagnosis,4,0.425,0.425,0.019246607957316197,1.1207097600652776,0.5566178663355673,0.5566178663355673,0.5566178663355673,0.5566178663355673,cf_4e7e8ca2916a1e,Problem/Diagnosis / structure / Secondary Diagnosis,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Problem/Diagnosis,structure,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.5,0.425,6.0,5.5,4.0
field:cf_0a229c157b8d2a,field,Associated causes,4,0.425,0.425,0.019246607957316197,1.1207097600652776,0.5566178663355673,0.5566178663355673,0.5566178663355673,0.5566178663355673,cf_0a229c157b8d2a,Problem/Diagnosis / structure / Associated causes,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Problem/Diagnosis,structure,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.5,0.425,6.0,5.5,4.0
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Procedure_undertaken,canonical_group,Procedure undertaken,2,0.0,1.4009615384615384,0.06344413528011243,1.3528947389711168,0.6719361335256462,0.6719361335256462,0.6719361335256462,0.6719361335256462,,,,,,,,,,,,,,,,
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Procedure_undertaken::Procedure_list,canonical_subgroup,Procedure list,3,0.0,1.4009615384615384,0.06344413528011243,1.195983748677132,0.5940038590561604,0.5940038590561604,0.5940038590561604,0.5940038590561604,,,,,,,,,,,,,,,,
field:cf_0b6364bb149692,field,Procedure,4,0.39375,0.39375,0.01783141619574883,0.997572668068648,0.4954599217398691,0.4954599217398691,0.4954599217398691,0.4954599217398691,cf_0b6364bb149692,Procedure undertaken / Procedure list / Procedure,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Procedure undertaken,Procedure list,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.375,0.39375,6.0,5.5,3.0
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Body_mass_index,canonical_group,Body mass index,2,0.0,0.43850524475524477,0.01985820831301454,1.1846623417421143,0.5883809068908119,0.5883809068908119,0.5883809068908119,0.5883809068908119,,,,,,,,,,,,,,,,
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Body_mass_index::Single,canonical_subgroup,Single,3,0.0,0.43850524475524477,0.01985820831301454,0.7927521456085466,0.3937326358216691,0.3937326358216691,0.3937326358216691,0.3937326358216691,,,,,,,,,,,,,,,,
