method,category,query_count,strict_coverage,partial_coverage,failure_count,dominant_failure_reason
random_topk_11,diagnosis_oriented,10,0.7,0.8166666666666667,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_11,general_clinical,2,1.0,1.0,0,SUPPORTED
random_topk_11,hospitalisation,20,0.55,0.7460714285714286,9,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_11,temporal,3,0.3333333333333333,0.5,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_11,treatment_procedure,7,0.2857142857142857,0.5122448979591836,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_12,demographic,12,0.4166666666666667,0.6511904761904762,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_12,diagnosis_oriented,11,0.18181818181818182,0.41666666666666674,9,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_12,general_clinical,6,0.16666666666666666,0.25,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_12,hospitalisation,11,0.8181818181818182,0.9030303030303031,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_12,temporal,7,0.14285714285714285,0.14285714285714285,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_12,treatment_procedure,7,0.14285714285714285,0.48877551020408166,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_13,demographic,12,0.16666666666666666,0.3904761904761904,10,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_13,diagnosis_oriented,10,0.5,0.6952380952380952,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_13,general_clinical,2,1.0,1.0,0,SUPPORTED
random_topk_13,hospitalisation,20,0.75,0.7866666666666667,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_13,temporal,3,0.6666666666666666,0.8666666666666667,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_13,treatment_procedure,7,0.42857142857142855,0.5979591836734693,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_14,demographic,12,0.08333333333333333,0.15277777777777776,11,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_14,diagnosis_oriented,11,0.6363636363636364,0.7943722943722943,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_14,general_clinical,5,1.0,1.0,0,SUPPORTED
random_topk_14,hospitalisation,11,0.5454545454545454,0.6717171717171717,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_14,temporal,7,0.7142857142857143,0.8428571428571429,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_14,treatment_procedure,8,0.375,0.6017857142857144,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_15,demographic,12,0.6666666666666666,0.8055555555555555,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_15,diagnosis_oriented,11,0.5454545454545454,0.7337662337662337,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_15,general_clinical,6,0.16666666666666666,0.16666666666666666,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_15,hospitalisation,11,0.45454545454545453,0.6,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_15,temporal,7,0.0,0.15714285714285717,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_15,treatment_procedure,7,0.2857142857142857,0.6020408163265306,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_16,demographic,12,0.5,0.7206349206349206,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_16,diagnosis_oriented,11,0.45454545454545453,0.7316017316017316,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_16,general_clinical,5,0.2,0.5333333333333333,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_16,hospitalisation,11,0.6363636363636364,0.7232323232323232,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_16,temporal,7,0.0,0.34795918367346934,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_16,treatment_procedure,8,0.25,0.5517857142857143,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_17,demographic,12,0.4166666666666667,0.6503968253968254,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_17,diagnosis_oriented,11,0.2727272727272727,0.5725108225108225,8,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_17,general_clinical,6,0.8333333333333334,0.9166666666666666,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_17,hospitalisation,11,0.6363636363636364,0.7626262626262627,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_17,temporal,7,0.0,0.5173469387755103,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_17,treatment_procedure,7,0.14285714285714285,0.4908163265306122,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_18,demographic,12,0.4166666666666667,0.6511904761904762,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_18,diagnosis_oriented,11,0.2727272727272727,0.5974025974025974,8,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_18,general_clinical,6,0.3333333333333333,0.611111111111111,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_18,hospitalisation,11,0.45454545454545453,0.601010101010101,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_18,temporal,7,0.2857142857142857,0.5448979591836735,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_18,treatment_procedure,7,0.5714285714285714,0.7285714285714285,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_19,demographic,12,0.16666666666666666,0.34960317460317464,10,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_19,diagnosis_oriented,11,0.5454545454545454,0.722943722943723,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_19,general_clinical,6,1.0,1.0,0,SUPPORTED
random_topk_19,hospitalisation,11,0.2727272727272727,0.5010101010101011,8,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_19,temporal,7,0.8571428571428571,0.9428571428571428,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_19,treatment_procedure,7,0.2857142857142857,0.5020408163265306,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_2,demographic,12,0.3333333333333333,0.5392857142857143,8,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_2,diagnosis_oriented,11,0.7272727272727273,0.8679653679653679,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_2,general_clinical,5,0.0,0.0,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_2,hospitalisation,11,0.18181818181818182,0.36363636363636365,9,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_2,temporal,7,0.2857142857142857,0.5683673469387754,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_2,treatment_procedure,8,0.25,0.5517857142857143,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_20,demographic,12,0.08333333333333333,0.19682539682539682,11,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_20,diagnosis_oriented,11,0.7272727272727273,0.8982683982683981,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_20,general_clinical,6,0.5,0.6944444444444443,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_20,hospitalisation,11,0.36363636363636365,0.45555555555555555,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_20,temporal,7,0.2857142857142857,0.4765306122448979,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_20,treatment_procedure,7,0.42857142857142855,0.6928571428571428,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_21,demographic,12,0.5,0.6984126984126985,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_21,diagnosis_oriented,11,0.09090909090909091,0.43073593073593075,10,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_21,general_clinical,6,0.3333333333333333,0.611111111111111,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_21,hospitalisation,11,0.45454545454545453,0.6161616161616161,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_21,temporal,7,0.0,0.3193877551020408,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_21,treatment_procedure,7,0.42857142857142855,0.5357142857142857,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_22,demographic,12,0.16666666666666666,0.3904761904761904,10,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_22,diagnosis_oriented,10,0.3,0.5119047619047619,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_22,general_clinical,2,0.5,0.5,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
