rank,field_id,label,canonical_path,record_family,score,coverage,kind,dv_type,benchmark_relevance,selected_by_aqf_full,selected_by_aqf_topk_no_threshold,selected_by_frequency_only,selected_by_flattened_topk,selected_by_no_operator_awareness,selected_by_no_pruning,selected_by_random_topk_1,selected_by_random_topk_2,selected_by_random_topk_3,selected_by_random_topk_4,selected_by_random_topk_5,selected_by_random_topk_6,selected_by_random_topk_7,selected_by_random_topk_8,selected_by_random_topk_9,selected_by_random_topk_10
13,cf_1d8359b2d21168,State/province,Patient admission / Tree / Assigned patient location / Address / State/province,openEHR-EHR-COMPOSITION.hospitalisation.v1,2.3128530146562256,1.0,coded,DV_CODED_TEXT,state; state province,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
14,cf_ba09c313b94cba,ICU - Total,Authorization for hospital admission / Components / ICU - Total,openEHR-EHR-COMPOSITION.hospitalisation.v1,2.308165514656226,1.0,numeric,DV_COUNT,icu total,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
15,cf_2a67f6f1c22886,Hospital service,Patient admission / Tree / Hospital service,openEHR-EHR-COMPOSITION.hospitalisation.v1,2.2370717646562257,1.0,text,DV_TEXT,hospital service,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
16,cf_e7551706658b4a,gender,Demographic data / components / gender,openEHR-EHR-COMPOSITION.demographic_data.v1,2.2119410416654484,1.0,coded,DV_CODED_TEXT,gender,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
17,cf_bd9db9ae67063d,Problem,Problem/Diagnosis / structure / Problem,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,2.2114245525687966,1.0,coded,DV_CODED_TEXT,problem,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
18,cf_10f7d6c8e1d5c5,Admission type,Patient admission / Tree / Admission type,openEHR-EHR-COMPOSITION.hospitalisation.v1,2.205431139656226,1.0,coded,DV_CODED_TEXT,admission type,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
19,cf_80f721f9446bd3,death indicator,Patient discharge / Components / death indicator,openEHR-EHR-COMPOSITION.hospitalisation.v1,2.1740970050408417,1.0,boolean,DV_BOOLEAN,death indicator,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True
20,cf_b87e8363f020f7,healthcare unit,HCPA / components / General data / healthcare unit,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,2.1650446624703914,1.0,coded,DV_CODED_TEXT,,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True
21,cf_0b6364bb149692,Procedure,Procedure undertaken / Procedure list / Procedure,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,2.152541426523646,1.0,coded,DV_CODED_TEXT,procedure,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
22,cf_4e7e8ca2916a1e,Secondary Diagnosis,Problem/Diagnosis / structure / Secondary Diagnosis,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,2.146864299642375,1.0,coded,DV_CODED_TEXT,problem,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
23,cf_19e1b0f55ef007,race,Demographic data / components / race,openEHR-EHR-COMPOSITION.demographic_data.v1,2.1429069507563576,1.0,null,NULL_FLAVOUR,race,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
24,cf_4122372d727029,ethnic group,Demographic data / components / ethnic group,openEHR-EHR-COMPOSITION.demographic_data.v1,2.1429069507563576,1.0,null,NULL_FLAVOUR,ethnic group,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
25,cf_7ab0248b87b82e,educational level,Demographic data / components / educational level,openEHR-EHR-COMPOSITION.demographic_data.v1,2.1429069507563576,1.0,coded,DV_CODED_TEXT,educational level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
26,cf_eee397355aecbe,nationality,Demographic data / components / nationality,openEHR-EHR-COMPOSITION.demographic_data.v1,2.1429069507563576,1.0,coded,DV_CODED_TEXT,nationality,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False
27,cf_be52992cb12705,hospital infection,Patient discharge / Components / hospital infection,openEHR-EHR-COMPOSITION.hospitalisation.v1,2.142456380040841,1.0,null,NULL_FLAVOUR,hospital infection,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
28,cf_3db72fcc22b158,Patient class,Patient admission / Tree / Patient class,openEHR-EHR-COMPOSITION.hospitalisation.v1,2.142149889656226,1.0,null,NULL_FLAVOUR,patient class,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
29,cf_49533263f29569,reason for discharge,Patient discharge / Components / reason for discharge,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,2.1389987582544148,1.0,coded,DV_CODED_TEXT,reason for discharge,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
30,cf_0a229c157b8d2a,Associated causes,Problem/Diagnosis / structure / Associated causes,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,2.137896908338027,1.0,coded,DV_CODED_TEXT,problem,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
31,cf_8b431261fa7dca,State,HCPA / components / General data / State,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,2.099329518239622,1.0,coded,DV_CODED_TEXT,state; state province,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
32,cf_775d9002cb4e7b,reason for encounter,HCPA / components / General data / reason for encounter,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,2.0965711047780835,1.0,coded,DV_CODED_TEXT,reason for encounter,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
