method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility
aqf_full,29,7,9,6,1.0,35.0,165,165,0,153.25,45.518084133478474
aqf_topk_no_threshold,29,7,9,6,1.0,35.0,165,165,0,153.25,45.518084133478474
frequency_only,29,7,9,6,1.0,35.0,153,153,0,139.25,44.72892289574742
flattened_topk,29,1,1,6,1.0,35.0,165,165,0,153.25,45.518084133478474
no_operator_awareness,29,7,9,6,1.0,35.0,319,165,154,348.0,45.518084133478474
no_pruning,54,11,19,6,1.0,60.0,285,285,0,262.25,61.521227745197024
random_topk_1,29,8,13,6,1.0,35.0,155,155,0,143.25,31.659955064781467
random_topk_2,29,8,15,6,1.0,35.0,161,161,0,150.75,31.74996677696375
random_topk_3,29,9,15,6,1.0,35.0,142,142,0,126.75,31.661569856495234
random_topk_4,29,9,15,6,1.0,35.0,150,150,0,136.25,33.88019012976758
random_topk_5,29,10,15,6,1.0,35.0,151,151,0,139.75,29.854074565113446
random_topk_6,29,10,16,6,1.0,35.0,162,162,0,151.0,36.03202154317487
random_topk_7,29,7,14,6,1.0,35.0,152,152,0,140.5,32.399611675265
random_topk_8,29,9,14,6,1.0,35.0,152,152,0,139.0,34.92377698754005
random_topk_9,29,9,13,6,1.0,35.0,149,149,0,135.5,33.700535051196944
random_topk_10,29,9,14,6,1.0,35.0,153,153,0,140.25,32.967339567855035
