operator_aware_form_id,canonical_form_id,form_group,input_field_count,output_field_count,relationship_count,operator_form_utility,max_depth
oaf_cf_outpatient_high_complexity_procedures_70186,cf_outpatient_high_complexity_procedures_70186,Outpatient high complexity procedures,12,12,231,15.813940339335183,5
oaf_cf_demographic_data_88262,cf_demographic_data_88262,Demographic data,4,4,18,1.5721974549861495,3
