form_id,form_group,utility,complexity,max_depth,selected_field_count,filter_count,output_count,relationship_count
aqf_outpatient_high_complexity_procedures_40981,Outpatient high complexity procedures,6.966178733841183,20.0,5,15,9,6,40
aqf_demographic_data_56269,Demographic data,0.6147853185595568,5.0,3,2,1,1,3
