rank,field_id,label,canonical_path,record_family,score,coverage,kind,dv_type,benchmark_relevance,selected_by_aqf_full,selected_by_aqf_topk_no_threshold,selected_by_frequency_only,selected_by_flattened_topk,selected_by_no_operator_awareness,selected_by_no_pruning,selected_by_random_topk_1,selected_by_random_topk_2,selected_by_random_topk_3,selected_by_random_topk_4,selected_by_random_topk_5,selected_by_random_topk_6,selected_by_random_topk_7,selected_by_random_topk_8,selected_by_random_topk_9,selected_by_random_topk_10
11,cf_5cd62eaa6e16a8,issue date,HCPA / components / General data / issue date,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,3.537052229183396,1.0,temporal,DV_DATE,,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,False
12,cf_1d8359b2d21168,State/province,Patient admission / Tree / Assigned patient location / Address / State/province,openEHR-EHR-COMPOSITION.hospitalisation.v1,3.5255648234499612,1.0,coded,DV_CODED_TEXT,state; state province,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True
13,cf_16800b2d3f5ef6,patient age,HCPA / components / General data / patient age,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,3.525225306106473,1.0,numeric,DV_COUNT,patient age,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True
14,cf_ba09c313b94cba,ICU - Total,Authorization for hospital admission / Components / ICU - Total,openEHR-EHR-COMPOSITION.hospitalisation.v1,3.518064823449962,1.0,numeric,DV_COUNT,icu total,True,True,True,True,True,True,False,False,False,True,True,True,False,False,False,True
15,cf_2a67f6f1c22886,Hospital service,Patient admission / Tree / Hospital service,openEHR-EHR-COMPOSITION.hospitalisation.v1,3.4793148234499616,1.0,text,DV_TEXT,hospital service,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True
16,cf_bd9db9ae67063d,Problem,Problem/Diagnosis / structure / Problem,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,3.474817745648536,1.0,coded,DV_CODED_TEXT,problem,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False
17,cf_10f7d6c8e1d5c5,Admission type,Patient admission / Tree / Admission type,openEHR-EHR-COMPOSITION.hospitalisation.v1,3.453689823449962,1.0,coded,DV_CODED_TEXT,admission type,True,True,False,True,True,True,False,False,True,False,True,True,False,True,False,False
18,cf_e7551706658b4a,gender,Demographic data / components / gender,openEHR-EHR-COMPOSITION.demographic_data.v1,3.4300147575738085,1.0,coded,DV_CODED_TEXT,gender,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True
19,cf_80f721f9446bd3,death indicator,Patient discharge / Components / death indicator,openEHR-EHR-COMPOSITION.hospitalisation.v1,3.428555208065347,1.0,boolean,DV_BOOLEAN,death indicator,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True
20,cf_4e7e8ca2916a1e,Secondary Diagnosis,Problem/Diagnosis / structure / Secondary Diagnosis,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,3.423444417889338,1.0,coded,DV_CODED_TEXT,problem,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True
21,cf_0a229c157b8d2a,Associated causes,Problem/Diagnosis / structure / Associated causes,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,3.409096591802382,1.0,coded,DV_CODED_TEXT,problem,True,True,False,True,True,True,False,True,True,True,False,True,False,True,False,True
22,cf_be52992cb12705,hospital infection,Patient discharge / Components / hospital infection,openEHR-EHR-COMPOSITION.hospitalisation.v1,3.4029302080653463,1.0,null,NULL_FLAVOUR,hospital infection,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,True
23,cf_3db72fcc22b158,Patient class,Patient admission / Tree / Patient class,openEHR-EHR-COMPOSITION.hospitalisation.v1,3.4024398234499618,1.0,null,NULL_FLAVOUR,patient class,False,False,True,False,False,True,True,True,True,False,True,False,True,True,True,True
24,cf_49533263f29569,reason for discharge,Patient discharge / Components / reason for discharge,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,3.3877826285916792,1.0,coded,DV_CODED_TEXT,reason for discharge,True,True,True,True,True,True,False,False,False,True,True,False,False,True,False,True
25,cf_0b6364bb149692,Procedure,Procedure undertaken / Procedure list / Procedure,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,3.384066282437834,1.0,coded,DV_CODED_TEXT,procedure,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True
26,cf_b87e8363f020f7,healthcare unit,HCPA / components / General data / healthcare unit,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,3.383302229183396,1.0,coded,DV_CODED_TEXT,,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,True
27,cf_19e1b0f55ef007,race,Demographic data / components / race,openEHR-EHR-COMPOSITION.demographic_data.v1,3.374105666664718,1.0,null,NULL_FLAVOUR,race,False,False,True,False,False,True,False,False,True,True,False,False,False,True,True,True
28,cf_4122372d727029,ethnic group,Demographic data / components / ethnic group,openEHR-EHR-COMPOSITION.demographic_data.v1,3.374105666664718,1.0,null,NULL_FLAVOUR,ethnic group,False,False,True,False,False,True,False,False,True,True,False,False,True,True,True,False
29,cf_7ab0248b87b82e,educational level,Demographic data / components / educational level,openEHR-EHR-COMPOSITION.demographic_data.v1,3.374105666664718,1.0,coded,DV_CODED_TEXT,educational level,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
30,cf_eee397355aecbe,nationality,Demographic data / components / nationality,openEHR-EHR-COMPOSITION.demographic_data.v1,3.374105666664718,1.0,coded,DV_CODED_TEXT,nationality,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,False
31,cf_8b431261fa7dca,State,HCPA / components / General data / State,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,3.3300810753372416,1.0,coded,DV_CODED_TEXT,state; state province,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True
32,cf_775d9002cb4e7b,reason for encounter,HCPA / components / General data / reason for encounter,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,3.3278471009782673,1.0,coded,DV_CODED_TEXT,reason for encounter,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False
33,cf_505d09ec39545c,duration of follow-up (months),Bariatric surgery evaluation / Components / duration of follow-up (months),openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,2.294609887870862,0.5576923076923077,numeric,DV_COUNT,duration of follow up months,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False
34,cf_c75844f7868470,Body Mass Index,Body mass index / Single / Body Mass Index,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,2.1915694763592968,0.5576923076923077,numeric,DV_QUANTITY,body mass index,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False
35,cf_8f20b6e7578a41,Baros table,Bariatric surgery evaluation / Components / Baros table,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.9758820772199748,0.5576923076923077,text,DV_TEXT,,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,True
36,cf_ac2de786b38da7,Baros score,Bariatric surgery evaluation / Components / Baros score,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.9615033789951226,0.5576923076923077,text,DV_TEXT,,False,False,False,False,False,True,False,True,True,False,False,True,False,True,True,False
37,cf_8e35971b63e360,topography,Problem/Diagnosis / structure / Tumour - TNM Cancer staging / topography,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.45913496027616,0.3557692307692308,coded,DV_CODED_TEXT,problem; tumour topography,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,True
38,cf_72eaea6790449d,date of pathological identification,Problem/Diagnosis / structure / Tumour - TNM Cancer staging / Pathological (pTNM) / date of pathological identification,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.4489505367704576,0.3557692307692308,temporal,DV_DATE,date of pathological identification; problem,False,False,False,False,False,True,True,True,False,False,True,True,False,True,False,True
39,cf_af0c9a7d79fe64,Invaded regional linphonodes,Problem/Diagnosis / structure / Invaded regional linphonodes,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.4399599860029417,0.3557692307692308,boolean,DV_BOOLEAN,invaded regional linphonodes nodes; problem,False,False,False,False,False,True,True,True,True,False,True,False,True,True,True,False
40,cf_c4703128fab784,Histopathological grading (G),Problem/Diagnosis / structure / Tumour - TNM Cancer staging / Pathological (pTNM) / Histopathological grading (G),openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.4287438060012265,0.3557692307692308,coded,DV_CODED_TEXT,histopathological grading; problem,False,False,False,False,False,True,True,False,False,False,False,True,True,False,True,True
41,cf_3c63f8bfbf5fd7,Clinical staging,Problem/Diagnosis / structure / Tumour - TNM Cancer staging / Clinical (cTNM) / Clinical staging,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.3999574401235146,0.3557692307692308,text,DV_TEXT,clinical staging; problem,False,False,False,False,False,True,False,True,True,False,True,True,True,False,False,False
42,cf_fc5be63ab59287,irradiated area 2,Procedure undertaken / Procedure list / irradiated area 2,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.0895663569870302,0.22115384615384615,coded,DV_CODED_TEXT,procedure,False,False,False,False,False,True,True,True,False,True,False,False,True,False,False,True
43,cf_bbec72e0a270f7,fields/insertions 2,Procedure undertaken / Procedure list / fields/insertions 2,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.9957248259219413,0.22115384615384615,numeric,DV_COUNT,procedure,False,False,False,False,False,True,True,False,False,True,False,False,True,False,True,False
44,cf_e5c01940113606,irradiated area 1,Procedure undertaken / Procedure list / irradiated area 1,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.9590042268095154,0.22115384615384615,coded,DV_CODED_TEXT,irradiated area 1; procedure,False,False,False,False,False,True,True,True,True,False,False,False,True,True,False,False
45,cf_c9b3a708f95249,fields/insertions 1,Procedure undertaken / Procedure list / fields/insertions 1,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.9590042268095154,0.22115384615384615,numeric,DV_COUNT,procedure,False,False,False,False,False,True,True,True,False,True,True,False,True,True,True,False
46,cf_ed2fd195fdc918,date of beginning of radiotherapy,HCPA / components / radiotherapy / date of beginning of radiotherapy,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.9393477097154982,0.22115384615384615,temporal,DV_DATE,date of beginning of radiotherapy,False,False,False,False,False,True,False,True,True,True,True,True,True,False,False,False
47,cf_821e1930333a5c,irradiated area 3,Procedure undertaken / Procedure list / irradiated area 3,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.9100434279929472,0.22115384615384615,null,NULL_FLAVOUR,procedure,False,False,False,False,False,True,True,False,True,True,True,True,True,False,False,False
48,cf_ccf42da6435cdd,duration of treatment,HCPA / components / chemotherapy / duration of treatment,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.5715581189759702,0.1346153846153846,numeric,DV_QUANTITY,duration of treatment,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,True
49,cf_e7f0fa8ccde04c,schema,HCPA / components / chemotherapy / schema,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.5715581189759702,0.1346153846153846,text,DV_TEXT,schema,False,False,False,False,False,True,False,False,True,False,True,False,False,True,True,True
50,cf_ec7d5ae391fa0a,date of beginning of chemotherapy,HCPA / components / chemotherapy / date of beginning of chemotherapy,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.5715581189759702,0.1346153846153846,temporal,DV_DATE,date of beginning of chemotherapy,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True
51,cf_c89fef6e42073d,indicator of transplantation,HCPA / components / transplantation / indicator of transplantation,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.3935446711292238,0.08653846153846154,boolean,DV_BOOLEAN,indicator of transplantation,False,False,False,False,False,True,True,False,True,True,True,False,True,False,True,False
52,cf_d7a40eea03f1d2,number of transplantations,HCPA / components / transplantation / number of transplantations,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.3935446711292238,0.08653846153846154,numeric,DV_COUNT,number of transplantations,False,False,False,False,False,True,True,True,True,False,True,False,False,True,False,True
53,cf_cc107606becdfc,Weight,Body weight / Simple / Weight,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.3571995856591383,0.08653846153846154,numeric,DV_QUANTITY,,False,False,False,False,False,True,True,False,True,False,True,True,False,True,False,True
54,cf_1b05aa3c7da77f,Height/Length,Height/Length / Simple / Height/Length,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.3571995856591383,0.08653846153846154,numeric,DV_QUANTITY,,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False
