method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility
aqf_full,29,7,9,6,1.0,35.0,165,165,0,153.25,103.19061724063052
aqf_topk_no_threshold,29,7,9,6,1.0,35.0,165,165,0,153.25,103.19061724063052
frequency_only,29,7,9,6,1.0,35.0,153,153,0,139.25,102.58916715870761
flattened_topk,29,1,1,6,1.0,35.0,165,165,0,153.25,103.19061724063052
no_operator_awareness,29,7,9,6,1.0,35.0,319,165,154,348.0,103.19061724063052
no_pruning,54,11,19,6,1.0,60.0,285,285,0,262.25,138.01043359177055
random_topk_1,29,8,13,6,1.0,35.0,155,155,0,143.25,68.46155945412123
random_topk_2,29,8,15,6,1.0,35.0,161,161,0,150.75,70.7044300672502
random_topk_3,29,9,15,6,1.0,35.0,142,142,0,126.75,71.91325800104532
random_topk_4,29,9,15,6,1.0,35.0,150,150,0,136.25,76.67275318295835
random_topk_5,29,10,15,6,1.0,35.0,151,151,0,139.75,65.93235069614983
random_topk_6,29,10,16,6,1.0,35.0,162,162,0,151.0,80.96914687945834
random_topk_7,29,7,14,6,1.0,35.0,152,152,0,140.5,71.03079803225853
random_topk_8,29,9,14,6,1.0,35.0,152,152,0,139.0,79.27782742973535
random_topk_9,29,9,13,6,1.0,35.0,149,149,0,135.5,77.47769928153416
random_topk_10,29,9,14,6,1.0,35.0,153,153,0,140.25,76.1475174032582
