operator_aware_form_id,canonical_form_id,form_group,input_field_count,output_field_count,relationship_count,operator_form_utility,max_depth
oaf_cf_outpatient_high_complexity_procedures_21347,cf_outpatient_high_complexity_procedures_21347,Outpatient high complexity procedures,10,8,417,8.79070668859649,5
oaf_cf_demographic_data_89248,cf_demographic_data_89248,Demographic data,2,2,6,0.7956133137119114,3
