operator_aware_form_id,canonical_form_id,form_group,input_field_count,output_field_count,relationship_count,operator_form_utility,max_depth
oaf_cf_outpatient_high_complexity_procedures_87968,cf_outpatient_high_complexity_procedures_87968,Outpatient high complexity procedures,12,12,231,9.815266005886429,5
oaf_cf_demographic_data_31234,cf_demographic_data_31234,Demographic data,2,2,6,0.8309784020083103,3
