method,category,query_count,strict_coverage,partial_coverage,failure_count,dominant_failure_reason
random_topk_13,general_clinical,6,1.0,1.0,0,SUPPORTED
random_topk_13,hospitalisation,11,0.8181818181818182,0.9343434343434344,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_13,temporal,7,0.8571428571428571,0.9428571428571428,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_13,treatment_procedure,7,0.5714285714285714,0.7244897959183673,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_14,demographic,12,0.08333333333333333,0.15277777777777776,11,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_14,diagnosis_oriented,11,0.9090909090909091,0.961038961038961,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_14,general_clinical,6,1.0,1.0,0,SUPPORTED
random_topk_14,hospitalisation,11,1.0,1.0,0,SUPPORTED
random_topk_14,temporal,7,1.0,1.0,0,SUPPORTED
random_topk_14,treatment_procedure,7,0.8571428571428571,0.8571428571428571,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_15,demographic,12,1.0,1.0,0,SUPPORTED
random_topk_15,diagnosis_oriented,11,0.9090909090909091,0.961038961038961,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_15,general_clinical,6,1.0,1.0,0,SUPPORTED
random_topk_15,hospitalisation,11,0.7272727272727273,0.8434343434343435,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_15,temporal,7,0.8571428571428571,0.9428571428571428,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_15,treatment_procedure,7,0.42857142857142855,0.6591836734693877,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_16,demographic,12,1.0,1.0,0,SUPPORTED
random_topk_16,diagnosis_oriented,11,0.7272727272727273,0.8982683982683981,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_16,general_clinical,6,0.5,0.6944444444444443,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_16,hospitalisation,11,0.8181818181818182,0.898989898989899,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_16,temporal,7,0.42857142857142855,0.7734693877551021,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_16,treatment_procedure,7,0.5714285714285714,0.7285714285714285,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_17,demographic,12,0.5833333333333334,0.7615079365079365,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_17,diagnosis_oriented,11,1.0,1.0,0,SUPPORTED
random_topk_17,general_clinical,6,1.0,1.0,0,SUPPORTED
random_topk_17,hospitalisation,11,1.0,1.0,0,SUPPORTED
random_topk_17,temporal,7,1.0,1.0,0,SUPPORTED
random_topk_17,treatment_procedure,7,0.7142857142857143,0.7959183673469388,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_18,demographic,12,0.5833333333333334,0.7623015873015873,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_18,diagnosis_oriented,11,0.8181818181818182,0.9307359307359306,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_18,general_clinical,6,0.5,0.6944444444444443,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_18,hospitalisation,11,0.7272727272727273,0.8535353535353536,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_18,temporal,7,0.42857142857142855,0.7734693877551021,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_18,treatment_procedure,7,0.5714285714285714,0.7285714285714285,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_19,demographic,12,1.0,1.0,0,SUPPORTED
random_topk_19,diagnosis_oriented,11,0.5454545454545454,0.722943722943723,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_19,general_clinical,6,1.0,1.0,0,SUPPORTED
random_topk_19,hospitalisation,11,0.7272727272727273,0.8535353535353536,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_19,temporal,7,0.8571428571428571,0.9428571428571428,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_19,treatment_procedure,7,0.7142857142857143,0.7142857142857143,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_2,demographic,12,0.5,0.6920634920634922,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_2,diagnosis_oriented,11,0.8181818181818182,0.9285714285714285,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_2,general_clinical,6,0.8333333333333334,0.9166666666666666,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_2,hospitalisation,11,0.5454545454545454,0.7383838383838385,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_2,temporal,7,0.8571428571428571,0.9285714285714286,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_2,treatment_procedure,7,0.7142857142857143,0.7857142857142857,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_20,demographic,12,0.25,0.5023809523809525,9,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_20,diagnosis_oriented,11,0.7272727272727273,0.8982683982683981,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_20,general_clinical,6,0.5,0.6944444444444443,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_20,hospitalisation,11,0.7272727272727273,0.8494949494949495,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_20,temporal,7,0.5714285714285714,0.8306122448979592,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_20,treatment_procedure,7,0.7142857142857143,0.7999999999999999,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_21,demographic,12,1.0,1.0,0,SUPPORTED
random_topk_21,diagnosis_oriented,11,0.9090909090909091,0.961038961038961,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_21,general_clinical,6,1.0,1.0,0,SUPPORTED
random_topk_21,hospitalisation,11,0.45454545454545453,0.6767676767676768,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_21,temporal,7,0.2857142857142857,0.6459183673469387,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_21,treatment_procedure,7,0.5714285714285714,0.7000000000000001,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_22,demographic,12,0.5,0.740079365079365,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_22,diagnosis_oriented,11,0.5454545454545454,0.761904761904762,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_22,general_clinical,6,1.0,1.0,0,SUPPORTED
random_topk_22,hospitalisation,11,0.6363636363636364,0.8232323232323232,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_22,temporal,7,0.2857142857142857,0.6459183673469387,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_22,treatment_procedure,7,0.5714285714285714,0.7244897959183673,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_23,demographic,12,1.0,1.0,0,SUPPORTED
random_topk_23,diagnosis_oriented,11,0.6363636363636364,0.8030303030303029,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_23,general_clinical,6,0.5,0.6944444444444443,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_23,hospitalisation,11,0.45454545454545453,0.611111111111111,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_23,temporal,7,0.42857142857142855,0.7448979591836735,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_23,treatment_procedure,7,0.5714285714285714,0.7285714285714285,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_24,demographic,12,0.5833333333333334,0.7615079365079365,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_24,diagnosis_oriented,11,0.8181818181818182,0.9285714285714285,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_24,general_clinical,6,1.0,1.0,0,SUPPORTED
random_topk_24,hospitalisation,11,0.8181818181818182,0.9343434343434344,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_24,temporal,7,0.8571428571428571,0.9428571428571428,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
