method,category,query_count,strict_coverage,partial_coverage,failure_count,dominant_failure_reason
random_topk_14,demographic,12,0.16666666666666666,0.4321428571428571,10,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_14,diagnosis_oriented,10,0.4,0.5547619047619048,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_14,general_clinical,6,1.0,1.0,0,SUPPORTED
random_topk_14,temporal,7,1.0,1.0,0,SUPPORTED
random_topk_14,treatment_procedure,7,0.2857142857142857,0.4408163265306122,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_15,demographic,12,0.4166666666666667,0.6511904761904762,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_15,diagnosis_oriented,10,0.2,0.4666666666666666,8,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_15,general_clinical,6,0.3333333333333333,0.47222222222222215,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_15,temporal,7,0.14285714285714285,0.6520408163265305,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_15,treatment_procedure,7,0.42857142857142855,0.5877551020408163,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_16,demographic,12,1.0,1.0,0,SUPPORTED
random_topk_16,diagnosis_oriented,10,0.2,0.5583333333333333,8,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_16,general_clinical,6,0.5,0.6944444444444443,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_16,temporal,7,0.5714285714285714,0.8306122448979592,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_16,treatment_procedure,7,0.2857142857142857,0.55,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_17,demographic,12,0.16666666666666666,0.4321428571428571,10,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_17,diagnosis_oriented,10,0.0,0.1952380952380952,10,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_17,general_clinical,6,1.0,1.0,0,SUPPORTED
random_topk_17,temporal,7,0.7142857142857143,0.8714285714285713,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_17,treatment_procedure,7,0.7142857142857143,0.7142857142857143,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_18,demographic,12,0.6666666666666666,0.8031746031746031,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_18,diagnosis_oriented,10,0.4,0.6619047619047619,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_18,general_clinical,5,0.4,0.6333333333333333,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_18,temporal,7,0.14285714285714285,0.39081632653061227,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_18,treatment_procedure,8,0.25,0.3035714285714286,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_19,demographic,12,1.0,1.0,0,SUPPORTED
random_topk_19,diagnosis_oriented,10,0.7,0.8988095238095237,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_19,general_clinical,6,0.3333333333333333,0.611111111111111,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_19,temporal,7,0.0,0.34795918367346934,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_19,treatment_procedure,7,0.2857142857142857,0.4642857142857143,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_2,demographic,12,0.6666666666666666,0.8031746031746031,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_2,diagnosis_oriented,10,0.5,0.7404761904761904,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_2,general_clinical,6,0.3333333333333333,0.5555555555555555,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_2,temporal,7,0.2857142857142857,0.6663265306122449,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_2,treatment_procedure,7,0.7142857142857143,0.7142857142857143,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_20,demographic,12,0.6666666666666666,0.8055555555555555,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_20,diagnosis_oriented,10,0.3,0.47619047619047616,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_20,general_clinical,6,1.0,1.0,0,SUPPORTED
random_topk_20,temporal,7,0.8571428571428571,0.8571428571428571,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_20,treatment_procedure,7,0.7142857142857143,0.7142857142857143,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_21,demographic,12,0.25,0.5432539682539682,9,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_21,diagnosis_oriented,10,0.2,0.5,8,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_21,general_clinical,6,1.0,1.0,0,SUPPORTED
random_topk_21,temporal,7,0.2857142857142857,0.6459183673469387,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_21,treatment_procedure,7,0.2857142857142857,0.4408163265306122,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_22,demographic,12,0.25,0.5015873015873016,9,ABSENT_OR_PRUNED_OR_MATCH_FAILED
