method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility
aqf_full,21,7,11,6,1.5,30.0,124,124,0,118.25,6.286352872286376
aqf_topk_no_threshold,21,7,11,6,1.5,30.0,124,124,0,118.25,6.286352872286376
frequency_only,22,7,8,5,1.5,29.5,120,120,0,110.5,5.842581828515332
flattened_topk,21,1,1,6,1.5,30.0,124,124,0,118.25,6.286352872286376
no_operator_awareness,21,7,11,6,1.5,30.0,231,124,107,252.0,6.286352872286376
no_pruning,35,7,12,6,1.5,44.0,187,187,0,172.5,7.2796188655523695
random_topk_1,21,7,11,6,1.5,30.0,109,109,0,100.75,4.937736271495862
random_topk_2,21,6,10,6,1.5,30.0,112,112,0,102.75,3.375479432001171
random_topk_3,21,6,9,6,1.5,30.0,114,114,0,105.5,4.267735324257063
random_topk_4,21,7,11,6,1.5,30.0,111,111,0,103.0,4.338614620200298
random_topk_5,21,6,11,6,1.5,30.0,107,107,0,97.5,4.118855218855219
random_topk_6,21,7,11,6,1.5,30.0,111,111,0,102.0,3.488314517726282
random_topk_7,21,6,8,6,1.5,30.0,111,111,0,101.5,3.8475333040550432
random_topk_8,21,6,11,6,1.5,30.0,109,109,0,99.75,3.9875420875420873
random_topk_9,21,5,9,6,1.5,30.0,113,113,0,105.25,4.732381788903528
random_topk_10,21,7,10,6,1.5,30.0,113,113,0,105.25,4.9530195389530425
random_topk_11,21,6,9,6,1.5,30.0,112,112,0,102.75,3.794539598887425
random_topk_12,21,7,10,6,1.5,30.0,112,112,0,102.75,3.7172707466825115
random_topk_13,21,6,9,6,1.5,30.0,115,115,0,107.5,5.284669370602875
random_topk_14,21,7,9,6,1.5,30.0,118,118,0,110.0,4.986689572623076
random_topk_15,21,7,12,6,1.5,30.0,114,114,0,106.0,4.7105952965288
random_topk_16,24,7,9,4,1.5,30.0,125,125,0,115.5,5.636462665874431
random_topk_17,22,6,9,5,1.5,29.5,122,122,0,113.75,4.1253110818328205
random_topk_18,21,7,9,6,1.5,30.0,111,111,0,100.5,3.334369268128859
random_topk_19,21,6,9,6,1.5,30.0,107,107,0,97.5,4.428619528619529
random_topk_20,21,6,9,6,1.5,30.0,114,114,0,106.0,4.312179768701507
random_topk_21,21,7,10,6,1.5,30.0,108,108,0,97.75,3.816729098314776
random_topk_22,21,6,9,6,1.5,30.0,107,107,0,97.5,3.931108183282096
random_topk_23,21,5,9,6,1.5,30.0,111,111,0,101.5,4.4723173766652025
random_topk_24,21,7,11,6,1.5,30.0,107,107,0,98.0,4.440298121883799
random_topk_25,21,6,9,6,1.5,30.0,115,115,0,107.0,4.58423364075538
random_topk_26,21,6,10,6,1.5,30.0,111,111,0,101.5,3.84514367890327
random_topk_27,21,7,9,6,1.5,30.0,116,116,0,108.25,4.586689572623077
random_topk_28,21,6,10,6,1.5,30.0,118,118,0,110.0,4.62362758014932
random_topk_29,21,5,10,6,1.5,30.0,109,109,0,98.75,3.673459229980969
random_topk_30,21,7,12,6,1.5,30.0,119,119,0,111.0,4.4085165379283024
