method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility,query_count,strict_coverage,partial_coverage,combo_id,complexity_budget,theta,lambda_sc,mu
random_topk_26,30,7,12,6,0.0,30.0,157,157,0,143.5,5.287026272959777,42,0.5952380952380952,0.7735260770975058,combo_0001_c30_t0_l0_mu0_e0,30.0,0.0,0.0,0.0
random_topk_27,30,7,11,6,0.0,30.0,161,161,0,149.0,5.714635700569204,42,0.7142857142857143,0.8218820861678005,combo_0001_c30_t0_l0_mu0_e0,30.0,0.0,0.0,0.0
random_topk_28,30,7,12,6,0.0,30.0,161,161,0,148.5,5.9075649934984975,42,0.8095238095238095,0.8814625850340136,combo_0001_c30_t0_l0_mu0_e0,30.0,0.0,0.0,0.0
random_topk_29,30,7,12,6,0.0,30.0,157,157,0,143.5,5.316655902589407,42,0.6666666666666666,0.8031179138321995,combo_0001_c30_t0_l0_mu0_e0,30.0,0.0,0.0,0.0
random_topk_30,30,7,12,6,0.0,30.0,161,161,0,148.0,5.668580950166628,42,0.7857142857142857,0.8616213151927438,combo_0001_c30_t0_l0_mu0_e0,30.0,0.0,0.0,0.0
aqf_full,27,7,11,6,0.5,30.0,150,150,0,140.0,6.872211458144962,42,0.8095238095238095,0.8373015873015872,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
aqf_topk_no_threshold,27,7,11,6,0.5,30.0,150,150,0,140.0,6.872211458144962,42,0.8095238095238095,0.8373015873015872,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
frequency_only,27,7,11,6,0.5,30.0,143,143,0,130.5,6.427767013700517,42,0.8571428571428571,0.8948979591836735,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
flattened_topk,27,1,1,6,0.5,30.0,150,150,0,140.0,6.872211458144962,42,0.8095238095238095,0.8373015873015872,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
no_operator_awareness,27,7,11,6,0.5,30.0,297,150,147,324.0,6.872211458144962,42,0.8095238095238095,0.8373015873015872,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
no_pruning,35,7,12,6,0.5,38.0,187,187,0,172.5,7.2796188655523695,42,0.9523809523809524,0.9523809523809524,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_1,27,7,11,6,0.5,30.0,141,141,0,130.25,5.724941658701249,42,0.5,0.6027210884353741,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_2,27,6,11,6,0.5,30.0,142,142,0,130.0,4.486590543112282,42,0.7619047619047619,0.8286848072562358,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_3,27,7,11,6,0.5,30.0,148,148,0,137.75,6.245948831882336,42,0.6666666666666666,0.7765306122448979,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_4,27,7,12,6,0.5,30.0,143,143,0,132.0,5.964877246462924,42,0.7619047619047619,0.8638321995464852,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_5,27,6,11,6,0.5,30.0,139,139,0,126.5,5.097774849948763,42,0.5714285714285714,0.7755668934240363,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_6,27,7,12,6,0.5,30.0,141,141,0,129.25,4.166897448483126,42,0.5,0.7073129251700679,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_7,27,7,10,6,0.5,30.0,147,147,0,136.0,5.583322569256073,42,0.7142857142857143,0.7860544217687074,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_8,27,7,12,6,0.5,30.0,141,141,0,129.25,5.166897448483126,42,0.7142857142857143,0.8341836734693877,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_9,27,6,10,6,0.5,30.0,147,147,0,137.0,5.801504387437891,42,0.7619047619047619,0.8201814058956917,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_10,27,7,11,6,0.5,30.0,143,143,0,132.5,6.36042694636045,42,0.6190476190476191,0.7335600907029478,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_11,27,7,12,6,0.5,30.0,148,148,0,138.75,6.3283086620682525,42,0.3333333333333333,0.5576530612244898,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_12,27,7,12,6,0.5,30.0,146,146,0,135.5,4.736594418180096,42,0.5952380952380952,0.707936507936508,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_13,27,7,10,6,0.5,30.0,145,145,0,134.75,6.266150852084356,42,0.5238095238095238,0.7007936507936507,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_14,27,7,10,6,0.5,30.0,147,147,0,136.5,6.485006070939575,42,0.6666666666666666,0.7990929705215419,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_15,27,7,12,6,0.5,30.0,146,146,0,135.0,5.579282165215669,42,0.4523809523809524,0.6784013605442177,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_16,27,7,11,6,0.5,30.0,141,141,0,130.25,6.110536739948505,42,0.6666666666666666,0.8290249433106576,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_17,27,7,10,5,0.5,29.5,148,148,0,137.75,5.955376441309945,42,0.5952380952380952,0.7182539682539683,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_18,27,7,11,6,0.5,30.0,141,141,0,128.25,4.334369268128859,42,0.5,0.6688775510204081,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_19,27,6,10,6,0.5,30.0,143,143,0,132.0,5.781276533450447,42,0.7857142857142857,0.8850340136054422,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_20,27,6,11,6,0.5,30.0,146,146,0,135.0,5.4771629336846726,42,0.7380952380952381,0.822562358276644,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_21,27,7,11,6,0.5,30.0,142,142,0,130.0,5.04056162649513,42,0.5238095238095238,0.7090136054421768,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_22,27,7,10,6,0.5,30.0,141,141,0,129.75,6.075988357574035,42,0.6666666666666666,0.8055555555555556,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_23,27,5,10,6,0.5,30.0,143,143,0,131.5,4.933596837944664,42,0.4047619047619047,0.6284580498866214,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_24,27,7,12,6,0.5,30.0,143,143,0,131.5,5.284742566328244,42,0.5714285714285714,0.7175736961451248,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_25,27,6,10,6,0.5,30.0,145,145,0,133.75,5.375479432001171,42,0.5714285714285714,0.7581065759637189,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_26,27,7,12,6,0.5,30.0,143,143,0,131.5,4.845948831882335,42,0.4285714285714285,0.6302154195011338,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_27,27,7,11,6,0.5,30.0,149,149,0,139.25,5.327430313363817,42,0.5476190476190477,0.7028344671201814,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_28,27,7,12,6,0.5,30.0,152,152,0,142.25,5.742581828515332,42,0.6190476190476191,0.7659297052154195,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_29,27,7,12,6,0.5,30.0,139,139,0,127.0,4.912615498549003,42,0.5238095238095238,0.6319727891156462,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
random_topk_30,27,7,12,6,0.5,30.0,145,145,0,132.75,5.1113418929275705,42,0.7142857142857143,0.8286281179138322,combo_0002_c30_t0_l0_mu0_e0p5,30.0,0.0,0.0,0.0
aqf_full,24,7,11,6,1.0,30.0,140,140,0,132.5,6.5994841854176896,42,0.6190476190476191,0.687641723356009,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
aqf_topk_no_threshold,24,7,11,6,1.0,30.0,140,140,0,132.5,6.5994841854176896,42,0.6190476190476191,0.687641723356009,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
frequency_only,24,7,9,6,1.0,30.0,129,129,0,118.5,6.064804050737554,42,0.7142857142857143,0.7924036281179138,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
flattened_topk,24,1,1,6,1.0,30.0,140,140,0,132.5,6.5994841854176896,42,0.6190476190476191,0.687641723356009,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
no_operator_awareness,24,7,11,6,1.0,30.0,264,140,124,288.0,6.5994841854176896,42,0.6190476190476191,0.687641723356009,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
no_pruning,35,7,12,6,1.0,41.0,187,187,0,172.5,7.2796188655523695,42,0.9523809523809524,0.9523809523809524,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_1,24,7,11,6,1.0,30.0,127,127,0,117.25,5.448847382606973,42,0.4523809523809524,0.5607709750566894,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_2,24,6,11,6,1.0,30.0,128,128,0,117.5,4.116220172741912,42,0.5238095238095238,0.715249433106576,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_3,24,7,11,6,1.0,30.0,130,130,0,120.75,4.949652535586039,42,0.3809523809523809,0.6170634920634921,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_4,24,7,11,6,1.0,30.0,127,127,0,117.75,5.56083684242252,42,0.6190476190476191,0.7557823129251701,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_5,24,6,11,6,1.0,30.0,121,121,0,110.0,4.728282828282828,42,0.4523809523809524,0.6683673469387755,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_6,24,7,11,6,1.0,30.0,129,129,0,119.0,3.944675226260904,42,0.4761904761904761,0.6425736961451247,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_7,24,6,9,6,1.0,30.0,129,129,0,118.0,4.271775728297468,42,0.5952380952380952,0.7175170068027211,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_8,24,6,11,6,1.0,30.0,123,123,0,111.75,4.391582491582492,42,0.5952380952380952,0.7353174603174603,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_9,24,6,10,6,1.0,30.0,131,131,0,122.75,5.488373074306578,42,0.6904761904761905,0.768140589569161,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_10,24,7,10,6,1.0,30.0,129,129,0,120.5,5.9530195389530425,42,0.3809523809523809,0.5556689342403628,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_11,24,7,11,6,1.0,30.0,130,130,0,120.75,5.476456810216401,42,0.3095238095238095,0.4741496598639456,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_12,24,7,11,6,1.0,30.0,130,130,0,120.25,4.440298121883799,42,0.5476190476190477,0.6766439909297052,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_13,24,7,10,6,1.0,30.0,127,127,0,117.75,5.858743444676948,42,0.5238095238095238,0.6905895691609977,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_14,24,7,10,6,1.0,30.0,136,136,0,127.5,5.357059942993447,42,0.5238095238095238,0.6674603174603175,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_15,24,7,12,6,1.0,30.0,132,132,0,123.0,5.229113815047318,42,0.4047619047619047,0.6466553287981859,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_16,26,7,9,4,1.0,30.0,137,137,0,127.0,5.858684888096652,42,0.5476190476190477,0.7479591836734694,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_17,25,6,9,5,1.0,30.0,136,136,0,126.25,5.38457034109208,42,0.5714285714285714,0.7087301587301587,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_18,24,7,11,6,1.0,30.0,127,127,0,115.25,3.7047396384992295,42,0.5,0.6688775510204081,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_19,24,6,10,6,1.0,30.0,125,125,0,115.5,5.391582491582492,42,0.5952380952380952,0.7956916099773242,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_20,24,6,10,6,1.0,30.0,128,128,0,118.0,4.756624213145952,42,0.7142857142857143,0.8106575963718822,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_21,24,7,10,6,1.0,30.0,124,124,0,112.5,4.594506876092554,42,0.4761904761904761,0.673639455782313,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_22,24,6,9,6,1.0,30.0,125,125,0,115.0,5.41427316644708,42,0.6428571428571429,0.784126984126984,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_23,24,5,10,6,1.0,30.0,129,129,0,119.0,4.637300541648368,42,0.3333333333333333,0.5883219954648526,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_24,24,7,12,6,1.0,30.0,125,125,0,114.5,4.914372195957873,42,0.5714285714285714,0.7116213151927437,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_25,24,6,10,6,1.0,30.0,127,127,0,117.25,4.897364953886693,42,0.3571428571428571,0.5869614512471655,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_26,24,7,11,6,1.0,30.0,129,129,0,119.0,4.532817518751022,42,0.3571428571428571,0.576360544217687,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_27,24,7,10,6,1.0,30.0,131,131,0,121.75,4.92002290595641,42,0.5476190476190477,0.6926303854875284,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_28,24,6,11,6,1.0,30.0,134,134,0,124.75,5.060664617186356,42,0.5952380952380952,0.7353174603174603,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_29,24,6,11,6,1.0,30.0,121,121,0,109.0,4.230698287220026,42,0.4761904761904761,0.601360544217687,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
random_topk_30,24,7,12,6,1.0,30.0,129,129,0,118.5,4.666897448483126,42,0.5476190476190477,0.7130952380952381,combo_0003_c30_t0_l0_mu0_e1,30.0,0.0,0.0,0.0
aqf_full,21,7,11,6,1.5,30.0,124,124,0,118.25,6.286352872286376,42,0.5714285714285714,0.6519274376417233,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
aqf_topk_no_threshold,21,7,11,6,1.5,30.0,124,124,0,118.25,6.286352872286376,42,0.5714285714285714,0.6519274376417233,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
frequency_only,22,7,8,5,1.5,29.5,120,120,0,110.5,5.842581828515332,42,0.6666666666666666,0.7385487528344671,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
flattened_topk,21,1,1,6,1.5,30.0,124,124,0,118.25,6.286352872286376,42,0.5714285714285714,0.6519274376417233,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
no_operator_awareness,21,7,11,6,1.5,30.0,231,124,107,252.0,6.286352872286376,42,0.5714285714285714,0.6519274376417233,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
no_pruning,35,7,12,6,1.5,44.0,187,187,0,172.5,7.2796188655523695,42,0.9523809523809524,0.9523809523809524,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_1,21,7,11,6,1.5,30.0,109,109,0,100.75,4.937736271495862,42,0.3809523809523809,0.5361111111111111,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_2,21,6,10,6,1.5,30.0,112,112,0,102.75,3.375479432001171,42,0.5238095238095238,0.715249433106576,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_3,21,6,9,6,1.5,30.0,114,114,0,105.5,4.267735324257063,42,0.3095238095238095,0.5531179138321995,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_4,21,7,11,6,1.5,30.0,111,111,0,103.0,4.338614620200298,42,0.3809523809523809,0.5963151927437641,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_5,21,6,11,6,1.5,30.0,107,107,0,97.5,4.118855218855219,42,0.4285714285714285,0.6366213151927438,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_6,21,7,11,6,1.5,30.0,111,111,0,102.0,3.488314517726282,42,0.3571428571428571,0.5345238095238095,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_7,21,6,8,6,1.5,30.0,111,111,0,101.5,3.8475333040550432,42,0.3333333333333333,0.5213151927437641,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_8,21,6,11,6,1.5,30.0,109,109,0,99.75,3.9875420875420873,42,0.3095238095238095,0.5539115646258503,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_9,21,5,9,6,1.5,30.0,113,113,0,105.25,4.732381788903528,42,0.6428571428571429,0.7348072562358277,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_10,21,7,10,6,1.5,30.0,113,113,0,105.25,4.9530195389530425,42,0.3571428571428571,0.5311791383219955,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_11,21,6,9,6,1.5,30.0,112,112,0,102.75,3.794539598887425,42,0.2619047619047619,0.3981859410430839,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_12,21,7,10,6,1.5,30.0,112,112,0,102.75,3.717270746682512,42,0.3571428571428571,0.573015873015873,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_13,21,6,9,6,1.5,30.0,115,115,0,107.5,5.284669370602875,42,0.4523809523809524,0.6350340136054422,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_14,21,7,9,6,1.5,30.0,118,118,0,110.0,4.986689572623076,42,0.5,0.6385487528344671,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_15,21,7,12,6,1.5,30.0,114,114,0,106.0,4.7105952965288,42,0.3095238095238095,0.5712585034013605,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_16,24,7,9,4,1.5,30.0,125,125,0,115.5,5.636462665874431,42,0.5476190476190477,0.7479591836734694,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_17,22,6,9,5,1.5,29.5,122,122,0,113.75,4.1253110818328205,42,0.4285714285714285,0.5770975056689343,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
