method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility,query_count,strict_coverage,partial_coverage,combo_id,complexity_budget,theta,lambda_sc,mu
random_topk_18,21,7,9,6,1.5,30.0,111,111,0,100.5,3.334369268128859,42,0.4047619047619047,0.5854308390022676,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_19,21,6,9,6,1.5,30.0,107,107,0,97.5,4.428619528619529,42,0.5476190476190477,0.7223922902494332,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_20,21,6,9,6,1.5,30.0,114,114,0,106.0,4.312179768701507,42,0.6666666666666666,0.7482993197278911,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_21,21,7,10,6,1.5,30.0,108,108,0,97.75,3.816729098314776,42,0.3571428571428571,0.5982426303854875,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_22,21,6,9,6,1.5,30.0,107,107,0,97.5,3.931108183282096,42,0.5476190476190477,0.7159863945578232,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_23,21,5,9,6,1.5,30.0,111,111,0,101.5,4.4723173766652025,42,0.2619047619047619,0.482766439909297,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_24,21,7,11,6,1.5,30.0,107,107,0,98.0,4.440298121883799,42,0.5,0.6691043083900227,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_25,21,6,9,6,1.5,30.0,115,115,0,107.0,4.58423364075538,42,0.2619047619047619,0.5290249433106575,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_26,21,6,10,6,1.5,30.0,111,111,0,101.5,3.84514367890327,42,0.2619047619047619,0.4751133786848073,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_27,21,7,9,6,1.5,30.0,116,116,0,108.25,4.586689572623077,42,0.4761904761904761,0.6346938775510205,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_28,21,6,10,6,1.5,30.0,118,118,0,110.0,4.62362758014932,42,0.5476190476190477,0.7064058956916099,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_29,21,5,10,6,1.5,30.0,109,109,0,98.75,3.673459229980969,42,0.4761904761904761,0.5894557823129252,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
random_topk_30,21,7,12,6,1.5,30.0,119,119,0,111.0,4.4085165379283024,42,0.4047619047619047,0.5801020408163265,combo_0004_c30_t0_l0_mu0_e1p5,30.0,0.0,0.0,0.0
aqf_full,18,7,10,6,2.0,30.0,108,108,0,103.5,5.859621793381384,42,0.3333333333333333,0.5189342403628118,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
aqf_topk_no_threshold,18,7,10,6,2.0,30.0,108,108,0,103.5,5.859621793381384,42,0.3333333333333333,0.5189342403628118,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
frequency_only,22,7,7,4,2.0,30.0,117,117,0,107.0,5.694433680367184,42,0.6904761904761905,0.7634920634920636,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
flattened_topk,18,1,1,6,2.0,30.0,108,108,0,103.5,5.859621793381384,42,0.3333333333333333,0.5189342403628118,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
no_operator_awareness,18,7,10,6,2.0,30.0,198,108,90,216.0,5.859621793381384,42,0.3333333333333333,0.5189342403628118,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
no_pruning,35,7,12,6,2.0,47.0,187,187,0,172.5,7.2796188655523695,42,0.9523809523809524,0.9523809523809524,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_1,18,6,9,6,2.0,30.0,91,91,0,83.25,3.905650709998536,42,0.3571428571428571,0.5146825396825397,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_2,18,6,9,6,2.0,30.0,94,94,0,86.25,2.845922998096911,42,0.4047619047619047,0.6608276643990929,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_3,18,6,8,6,2.0,30.0,96,96,0,88.5,3.788010540184453,42,0.1904761904761904,0.4511904761904762,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_4,18,7,11,6,2.0,30.0,93,93,0,86.0,3.413567042978808,42,0.2857142857142857,0.4807823129251701,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_5,18,6,11,6,2.0,30.0,93,93,0,85.5,3.751851851851852,42,0.3571428571428571,0.5687074829931973,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_6,18,7,11,6,2.0,30.0,93,93,0,84.5,2.7475737769855417,42,0.3095238095238095,0.4312925170068027,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_7,18,5,7,6,2.0,30.0,93,93,0,84.5,3.066461718635632,42,0.3095238095238095,0.4856009070294784,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_8,18,5,10,6,2.0,30.0,93,93,0,84.5,3.691245791245791,42,0.2857142857142857,0.5335034013605442,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_9,18,5,9,6,2.0,30.0,98,98,0,91.25,3.991641048162787,42,0.4523809523809524,0.6110544217687075,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_10,18,7,10,6,2.0,30.0,95,95,0,88.75,4.453092734678412,42,0.3095238095238095,0.4895124716553288,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_11,18,6,9,6,2.0,30.0,98,98,0,89.75,3.111037915385741,42,0.2142857142857142,0.3545351473922902,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_12,18,7,10,6,2.0,30.0,96,96,0,88.0,2.7913448207565854,42,0.2142857142857142,0.398469387755102,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_13,18,6,9,6,2.0,30.0,97,97,0,90.0,4.006086439846031,42,0.2619047619047619,0.4894557823129252,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_14,18,7,9,6,2.0,30.0,104,104,0,98.0,4.656723242656747,42,0.4761904761904761,0.5829931972789115,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_15,18,6,11,6,2.0,30.0,96,96,0,88.5,4.062447148380652,42,0.238095238095238,0.4850907029478458,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_16,22,7,8,4,2.0,30.0,113,113,0,103.5,5.043870073281838,42,0.5476190476190477,0.7336734693877551,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_17,20,6,9,5,2.0,30.0,110,110,0,102.25,3.997364953886693,42,0.3809523809523809,0.5441043083900227,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_18,18,7,8,6,2.0,30.0,97,97,0,88.0,3.058274992034583,42,0.3571428571428571,0.5434807256235827,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_19,18,6,8,6,2.0,30.0,91,91,0,82.75,3.0986531986531984,42,0.3095238095238095,0.5358843537414966,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_20,22,6,8,4,2.0,30.0,118,118,0,108.75,4.423290879812619,42,0.6666666666666666,0.7380952380952381,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_21,18,7,10,6,2.0,30.0,92,92,0,83.0,3.4463587279444057,42,0.2619047619047619,0.4950113378684807,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_22,18,6,9,6,2.0,30.0,91,91,0,82.75,3.652525252525253,42,0.3333333333333333,0.6055555555555555,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_23,18,5,9,6,2.0,30.0,93,93,0,84.5,3.442687747035573,42,0.1904761904761904,0.4050453514739229,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_24,18,7,11,6,2.0,30.0,91,91,0,83.75,4.09012977171545,42,0.3571428571428571,0.4793083900226757,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_25,18,6,9,6,2.0,30.0,97,97,0,90.0,3.2324549846288977,42,0.1904761904761904,0.3985260770975056,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_26,18,6,9,6,2.0,30.0,93,93,0,84.0,3.474773308532899,42,0.2619047619047619,0.4608276643990929,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_27,18,7,9,6,2.0,30.0,100,100,0,94.0,4.271069604829195,42,0.2142857142857142,0.401984126984127,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_28,18,6,10,6,2.0,30.0,100,100,0,93.0,3.510906163080076,42,0.4761904761904761,0.65640589569161,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_29,18,5,9,6,2.0,30.0,93,93,0,84.5,3.256624213145952,42,0.2619047619047619,0.4528344671201814,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
random_topk_30,18,7,11,6,2.0,30.0,103,103,0,96.25,4.206496335908101,42,0.3809523809523809,0.5579931972789116,combo_0005_c30_t0_l0_mu0_e2,30.0,0.0,0.0,0.0
aqf_full,30,7,11,6,0.0,30.0,166,166,0,154.25,19.132394087061133,42,0.8095238095238095,0.8373015873015872,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
aqf_topk_no_threshold,30,7,11,6,0.0,30.0,166,166,0,154.25,19.132394087061133,42,0.8095238095238095,0.8373015873015872,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
frequency_only,30,7,11,6,0.0,30.0,157,157,0,142.5,18.8981278096235,42,0.8809523809523809,0.9068027210884354,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
flattened_topk,30,1,1,6,0.0,30.0,166,166,0,154.25,19.132394087061133,42,0.8095238095238095,0.8373015873015872,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
no_operator_awareness,30,7,11,6,0.0,30.0,330,166,164,360.0,19.132394087061133,42,0.8095238095238095,0.8373015873015872,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
no_pruning,35,7,12,6,0.0,35.0,187,187,0,172.5,19.94819559939007,42,0.9523809523809524,0.9523809523809524,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_1,30,7,11,6,0.0,30.0,157,157,0,145.0,17.334220596288418,42,0.5714285714285714,0.7649659863945578,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_2,30,7,12,6,0.0,30.0,160,160,0,148.0,16.643855322509296,42,0.7857142857142857,0.8524943310657596,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_3,30,7,11,6,0.0,30.0,162,162,0,150.25,17.918134583816123,42,0.7142857142857143,0.8082766439909298,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_4,30,7,12,6,0.0,30.0,161,161,0,149.0,17.388049982952893,42,0.7619047619047619,0.8638321995464852,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_5,30,6,11,6,0.0,30.0,157,157,0,143.0,16.531557738988827,42,0.7857142857142857,0.873639455782313,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_6,30,7,12,6,0.0,30.0,159,159,0,145.75,15.843704759380614,42,0.6428571428571429,0.7827097505668935,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_7,30,7,11,6,0.0,30.0,163,163,0,150.75,17.357003848596158,42,0.7619047619047619,0.819047619047619,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_8,30,7,12,6,0.0,30.0,157,157,0,143.5,16.271256309742622,42,0.7142857142857143,0.8341836734693877,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_9,30,7,11,6,0.0,30.0,163,163,0,151.25,17.081708898527125,42,0.8571428571428571,0.8944444444444445,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_10,30,7,11,6,0.0,30.0,161,161,0,149.0,17.51259207272753,42,0.7380952380952381,0.8252834467120183,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_11,30,7,12,6,0.0,30.0,163,163,0,151.75,17.492529561345513,42,0.5,0.7093537414965987,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_12,30,7,12,6,0.0,30.0,161,161,0,149.0,16.107563500879785,42,0.6904761904761905,0.7658730158730158,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_13,30,7,12,6,0.0,30.0,161,161,0,149.0,17.535327915254978,42,0.6428571428571429,0.7869614512471654,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_14,30,7,10,6,0.0,30.0,163,163,0,150.75,18.43319666622973,42,0.8095238095238095,0.8733560090702949,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_15,30,7,12,6,0.0,30.0,161,161,0,148.0,16.889533416320383,42,0.7619047619047619,0.849092970521542,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_16,30,7,12,6,0.0,30.0,159,159,0,146.75,16.86651739841661,42,0.6666666666666666,0.8290249433106576,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_17,30,7,11,6,0.0,30.0,159,159,0,146.75,16.931468650701387,42,0.6666666666666666,0.8038548752834467,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_18,30,7,11,6,0.0,30.0,157,157,0,143.0,16.0160387781066,42,0.5952380952380952,0.7232993197278912,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_19,30,7,12,6,0.0,30.0,161,161,0,149.5,17.469868164771075,42,0.8333333333333334,0.9047619047619048,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_20,30,7,12,6,0.0,30.0,164,164,0,152.5,17.813251181895684,42,0.7619047619047619,0.8463718820861679,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_21,30,7,11,6,0.0,30.0,160,160,0,147.5,16.08209965207313,42,0.6666666666666666,0.7934807256235827,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_22,30,7,11,6,0.0,30.0,157,157,0,144.5,17.73207609548805,42,0.7857142857142857,0.8679138321995464,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_23,30,5,10,6,0.0,30.0,157,157,0,144.0,16.065873690649667,42,0.5714285714285714,0.7498866213151927,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_24,30,7,12,6,0.0,30.0,161,161,0,148.5,17.88504052236552,42,0.7857142857142857,0.8655328798185942,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_25,30,6,10,6,0.0,30.0,163,163,0,150.75,17.222936229779084,42,0.7380952380952381,0.8437074829931972,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_26,30,7,12,6,0.0,30.0,157,157,0,143.5,16.150083031699968,42,0.5952380952380952,0.7735260770975058,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_27,30,7,11,6,0.0,30.0,161,161,0,149.0,16.430377492202823,42,0.7142857142857143,0.8218820861678005,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_28,30,7,12,6,0.0,30.0,161,161,0,148.5,16.364020505646916,42,0.8095238095238095,0.8814625850340136,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_29,30,7,12,6,0.0,30.0,157,157,0,143.5,16.27131744013339,42,0.6666666666666666,0.8031179138321995,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
random_topk_30,30,7,12,6,0.0,30.0,161,161,0,148.0,16.1394698460721,42,0.7857142857142857,0.8616213151927438,combo_0006_c30_t0_l0_mu0p1_e0,30.0,0.0,0.0,0.1
aqf_full,27,7,11,6,0.5,30.0,148,148,0,136.75,18.370995388509836,42,0.8095238095238095,0.8373015873015872,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
aqf_topk_no_threshold,27,7,11,6,0.5,30.0,148,148,0,136.75,18.370995388509836,42,0.8095238095238095,0.8373015873015872,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
frequency_only,27,7,11,6,0.5,30.0,143,143,0,130.5,18.24619413164833,42,0.8571428571428571,0.8948979591836735,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
flattened_topk,27,1,1,6,0.5,30.0,148,148,0,136.75,18.370995388509836,42,0.8095238095238095,0.8373015873015872,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
no_operator_awareness,27,7,11,6,0.5,30.0,297,148,149,324.0,18.370995388509836,42,0.8095238095238095,0.8373015873015872,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
no_pruning,35,7,12,6,0.5,38.0,187,187,0,172.5,19.94819559939007,42,0.9523809523809524,0.9523809523809524,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_1,27,7,11,6,0.5,30.0,141,141,0,130.25,14.979852894133469,42,0.5,0.6027210884353741,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_2,27,6,11,6,0.5,30.0,142,142,0,130.0,14.408074700463636,42,0.7619047619047619,0.8286848072562358,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_3,27,7,11,6,0.5,30.0,148,148,0,137.75,15.690905687866,42,0.6666666666666666,0.7765306122448979,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_4,27,7,12,6,0.5,30.0,143,143,0,132.0,15.175972602154284,42,0.7619047619047619,0.8638321995464852,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_5,27,6,11,6,0.5,30.0,139,139,0,126.5,14.841994683981044,42,0.5714285714285714,0.7755668934240363,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_6,27,7,12,6,0.5,30.0,141,141,0,129.25,13.66351143655302,42,0.5,0.7073129251700679,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_7,27,7,10,6,0.5,30.0,147,147,0,136.0,16.191867910260445,42,0.7142857142857143,0.7860544217687074,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_8,27,7,12,6,0.5,30.0,141,141,0,129.25,14.686790388173357,42,0.7142857142857143,0.8341836734693877,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_9,27,6,10,6,0.5,30.0,147,147,0,137.0,15.277758954197337,42,0.7619047619047619,0.8201814058956917,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_10,27,7,11,6,0.5,30.0,143,143,0,132.5,15.875993444597215,42,0.6190476190476191,0.7335600907029478,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_11,27,7,12,6,0.5,30.0,148,148,0,138.75,16.202059603327008,42,0.3333333333333333,0.5576530612244898,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_12,27,7,12,6,0.5,30.0,146,146,0,135.5,13.987542183222777,42,0.5952380952380952,0.707936507936508,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_13,27,7,10,6,0.5,30.0,145,145,0,134.75,16.147242402873736,42,0.5238095238095238,0.7007936507936507,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_14,27,7,10,6,0.5,30.0,147,147,0,136.5,16.563677448923258,42,0.6666666666666666,0.7990929705215419,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_15,27,7,12,6,0.5,30.0,146,146,0,135.0,15.29857405477847,42,0.4523809523809524,0.6784013605442177,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_16,27,7,11,6,0.5,30.0,141,141,0,130.25,15.231799463486496,42,0.6666666666666666,0.8290249433106576,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_17,27,7,10,5,0.5,29.5,148,148,0,137.75,15.669383886543118,42,0.5952380952380952,0.7182539682539683,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_18,27,7,11,6,0.5,30.0,141,141,0,128.25,14.158262186769338,42,0.5,0.6688775510204081,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_19,27,6,10,6,0.5,30.0,143,143,0,132.0,15.81063733224385,42,0.7857142857142857,0.8850340136054422,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_20,27,6,11,6,0.5,30.0,146,146,0,135.0,15.205022110212033,42,0.7380952380952381,0.822562358276644,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_21,27,7,11,6,0.5,30.0,142,142,0,130.0,15.042566009308455,42,0.5238095238095238,0.7090136054421768,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_22,27,7,10,6,0.5,30.0,141,141,0,129.75,16.405746253542976,42,0.6666666666666666,0.8055555555555556,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_23,27,5,10,6,0.5,30.0,143,143,0,131.5,13.577698780613437,42,0.4047619047619047,0.6284580498866214,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_24,27,7,12,6,0.5,30.0,143,143,0,131.5,14.90787750256823,42,0.5714285714285714,0.7175736961451248,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_25,27,6,10,6,0.5,30.0,145,145,0,133.75,15.454884961515631,42,0.5714285714285714,0.7581065759637189,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_26,27,7,12,6,0.5,30.0,143,143,0,131.5,14.522949424145787,42,0.4285714285714285,0.6302154195011338,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_27,27,7,11,6,0.5,30.0,149,149,0,139.25,14.52752494156302,42,0.5476190476190477,0.7028344671201814,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_28,27,7,12,6,0.5,30.0,152,152,0,142.25,15.33982309916761,42,0.6190476190476191,0.7659297052154195,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_29,27,7,12,6,0.5,30.0,139,139,0,127.0,14.228937029031751,42,0.5238095238095238,0.6319727891156462,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
random_topk_30,27,7,12,6,0.5,30.0,145,145,0,132.75,14.5310697355928,42,0.7142857142857143,0.8286281179138322,combo_0007_c30_t0_l0_mu0p1_e0p5,30.0,0.0,0.0,0.1
aqf_full,24,7,9,6,1.0,30.0,132,132,0,122.0,17.517113996202752,42,0.7142857142857143,0.7674603174603175,combo_0008_c30_t0_l0_mu0p1_e1,30.0,0.0,0.0,0.1
aqf_topk_no_threshold,24,7,9,6,1.0,30.0,132,132,0,122.0,17.517113996202752,42,0.7142857142857143,0.7674603174603175,combo_0008_c30_t0_l0_mu0p1_e1,30.0,0.0,0.0,0.1
frequency_only,24,7,9,6,1.0,30.0,129,129,0,118.5,17.38054335148396,42,0.7142857142857143,0.7924036281179138,combo_0008_c30_t0_l0_mu0p1_e1,30.0,0.0,0.0,0.1
flattened_topk,24,1,1,6,1.0,30.0,132,132,0,122.0,17.517113996202752,42,0.7142857142857143,0.7674603174603175,combo_0008_c30_t0_l0_mu0p1_e1,30.0,0.0,0.0,0.1
no_operator_awareness,24,7,9,6,1.0,30.0,264,132,132,288.0,17.517113996202752,42,0.7142857142857143,0.7674603174603175,combo_0008_c30_t0_l0_mu0p1_e1,30.0,0.0,0.0,0.1
no_pruning,35,7,12,6,1.0,41.0,187,187,0,172.5,19.94819559939007,42,0.9523809523809524,0.9523809523809524,combo_0008_c30_t0_l0_mu0p1_e1,30.0,0.0,0.0,0.1
random_topk_1,24,7,11,6,1.0,30.0,127,127,0,117.25,13.940319251368791,42,0.4523809523809524,0.5607709750566894,combo_0008_c30_t0_l0_mu0p1_e1,30.0,0.0,0.0,0.1
random_topk_2,24,6,11,6,1.0,30.0,128,128,0,117.5,13.188603569080978,42,0.5238095238095238,0.715249433106576,combo_0008_c30_t0_l0_mu0p1_e1,30.0,0.0,0.0,0.1
random_topk_3,24,7,11,6,1.0,30.0,130,130,0,120.75,13.284610090038717,42,0.3809523809523809,0.6170634920634921,combo_0008_c30_t0_l0_mu0p1_e1,30.0,0.0,0.0,0.1
random_topk_4,24,7,11,6,1.0,30.0,127,127,0,117.75,13.926198440468594,42,0.6190476190476191,0.7557823129251701,combo_0008_c30_t0_l0_mu0p1_e1,30.0,0.0,0.0,0.1
random_topk_5,24,6,11,6,1.0,30.0,121,121,0,110.0,13.269822933321086,42,0.4523809523809524,0.6683673469387755,combo_0008_c30_t0_l0_mu0p1_e1,30.0,0.0,0.0,0.1
random_topk_6,24,7,11,6,1.0,30.0,129,129,0,119.0,13.028560085398205,42,0.4761904761904761,0.6425736961451247,combo_0008_c30_t0_l0_mu0p1_e1,30.0,0.0,0.0,0.1
random_topk_7,24,6,9,6,1.0,30.0,129,129,0,118.0,13.883699968967564,42,0.5952380952380952,0.7175170068027211,combo_0008_c30_t0_l0_mu0p1_e1,30.0,0.0,0.0,0.1
random_topk_8,24,6,11,6,1.0,30.0,123,123,0,111.75,12.861231142532649,42,0.5952380952380952,0.7353174603174603,combo_0008_c30_t0_l0_mu0p1_e1,30.0,0.0,0.0,0.1
random_topk_9,24,6,10,6,1.0,30.0,131,131,0,122.75,13.76577686179467,42,0.6904761904761905,0.768140589569161,combo_0008_c30_t0_l0_mu0p1_e1,30.0,0.0,0.0,0.1
random_topk_10,24,7,10,6,1.0,30.0,129,129,0,120.5,14.62579528989494,42,0.3809523809523809,0.5556689342403628,combo_0008_c30_t0_l0_mu0p1_e1,30.0,0.0,0.0,0.1
