form_id,form_group,utility,complexity,max_depth,selected_field_count,filter_count,output_count,relationship_count
aqf_outpatient_high_complexity_procedures_61787,Outpatient high complexity procedures,8.669549382502309,24.0,5,19,11,8,40
aqf_demographic_data_31497,Demographic data,0.6111495844875346,5.0,3,2,1,1,3
