method,field_count,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden
aqf_full,22,120,120,0,110.5
aqf_topk_no_threshold,22,120,120,0,110.5
flattened_topk,22,120,120,0,110.5
frequency_only,22,120,120,0,110.5
no_operator_awareness,22,242,120,122,264.0
no_pruning,35,187,187,0,172.5
random_topk_1,21,109,109,0,100.75
random_topk_10,21,113,113,0,105.25
random_topk_11,21,112,112,0,102.75
random_topk_12,21,112,112,0,102.75
random_topk_13,21,115,115,0,107.5
random_topk_14,21,118,118,0,110.0
random_topk_15,21,114,114,0,106.0
random_topk_16,24,125,125,0,115.5
random_topk_17,22,122,122,0,113.75
random_topk_18,21,111,111,0,100.5
random_topk_19,21,107,107,0,97.5
random_topk_2,21,112,112,0,102.75
random_topk_20,21,114,114,0,106.0
random_topk_21,21,108,108,0,97.75
random_topk_22,21,107,107,0,97.5
random_topk_23,21,111,111,0,101.5
random_topk_24,21,107,107,0,98.0
random_topk_25,21,115,115,0,107.0
random_topk_26,21,111,111,0,101.5
random_topk_27,21,116,116,0,108.25
random_topk_28,21,118,118,0,110.0
random_topk_29,21,109,109,0,98.75
random_topk_3,21,114,114,0,105.5
random_topk_30,21,119,119,0,111.0
random_topk_4,21,111,111,0,103.0
random_topk_5,21,107,107,0,97.5
random_topk_6,21,111,111,0,102.0
random_topk_7,21,111,111,0,101.5
random_topk_8,21,109,109,0,99.75
random_topk_9,21,113,113,0,105.25
