form_id,form_group,utility,complexity,max_depth,selected_field_count,filter_count,output_count,relationship_count
aqf_outpatient_high_complexity_procedures_69292,Outpatient high complexity procedures,9.167305257386888,24.0,5,19,11,8,40
aqf_demographic_data_46638,Demographic data,0.6063019390581718,5.0,3,2,1,1,3
