method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility
aqf_full,22,7,8,5,1.5,29.5,120,120,0,110.5,33.13577255297441
aqf_topk_no_threshold,22,7,8,5,1.5,29.5,120,120,0,110.5,33.13577255297441
frequency_only,22,7,8,5,1.5,29.5,120,120,0,110.5,33.13577255297441
flattened_topk,22,1,1,5,1.5,29.5,120,120,0,110.5,33.13577255297441
no_operator_awareness,22,7,8,5,1.5,29.5,242,120,122,264.0,33.13577255297441
no_pruning,35,7,12,6,1.5,44.0,187,187,0,172.5,38.95106070014661
random_topk_1,21,7,11,6,1.5,30.0,109,109,0,100.75,24.056489829621402
random_topk_2,21,6,10,6,1.5,30.0,112,112,0,102.75,23.21302564975957
random_topk_3,21,6,9,6,1.5,30.0,114,114,0,105.5,23.577619394347632
random_topk_4,21,7,11,6,1.5,30.0,111,111,0,103.0,21.671654915483654
random_topk_5,21,6,11,6,1.5,30.0,107,107,0,97.5,21.428202265144577
random_topk_6,21,7,11,6,1.5,30.0,111,111,0,102.0,24.074412951146396
random_topk_7,21,6,8,6,1.5,30.0,111,111,0,101.5,24.646609674465598
random_topk_8,21,6,11,6,1.5,30.0,109,109,0,99.75,21.065813697264392
random_topk_9,21,5,9,6,1.5,30.0,113,113,0,105.25,22.795449617899177
random_topk_10,21,7,10,6,1.5,30.0,113,113,0,105.25,24.120663089484722
random_topk_11,21,6,9,6,1.5,30.0,112,112,0,102.75,24.077575261630862
random_topk_12,21,7,10,6,1.5,30.0,112,112,0,102.75,22.095995117414553
random_topk_13,21,6,9,6,1.5,30.0,115,115,0,107.5,24.107842315995672
random_topk_14,21,7,9,6,1.5,30.0,118,118,0,110.0,26.12965870061162
random_topk_15,21,7,12,6,1.5,30.0,114,114,0,106.0,23.027852081804436
random_topk_16,24,7,9,4,1.5,30.0,125,125,0,115.5,27.18701515805333
random_topk_17,22,6,9,5,1.5,29.5,122,122,0,113.75,23.27416237937456
random_topk_18,21,7,9,6,1.5,30.0,111,111,0,100.5,24.81771614027937
random_topk_19,21,6,9,6,1.5,30.0,107,107,0,97.5,23.642041121007683
random_topk_20,21,6,9,6,1.5,30.0,114,114,0,106.0,22.56419698070025
random_topk_21,21,7,10,6,1.5,30.0,108,108,0,97.75,23.261413462081265
random_topk_22,21,6,9,6,1.5,30.0,107,107,0,97.5,22.488576459553062
random_topk_23,21,5,9,6,1.5,30.0,111,111,0,101.5,22.574508057749036
random_topk_24,21,7,11,6,1.5,30.0,107,107,0,98.0,23.372470354136546
random_topk_25,21,6,9,6,1.5,30.0,115,115,0,107.0,24.093355119825706
random_topk_26,21,6,10,6,1.5,30.0,111,111,0,101.5,22.973429624781808
random_topk_27,21,7,9,6,1.5,30.0,116,116,0,108.25,24.417948126077803
random_topk_28,21,6,10,6,1.5,30.0,118,118,0,110.0,25.03399466229342
random_topk_29,21,5,10,6,1.5,30.0,109,109,0,98.75,22.808850607046114
random_topk_30,21,7,12,6,1.5,30.0,119,119,0,111.0,21.98272293041877
