graph,node_count,edge_count,field_node_count,max_depth,root_cartesian_queriability,operator_count,cartesian_edge_count,weighted_operator_burden
Schema Graph,94,157,54,6.0,1.0,290.0,0,267.25
Weighted Schema Graph,94,190,54,6.0,1.0,290.0,33,267.25
Reduced Schema Graph,64,140,38,6.0,1.0,205.0,25,187.25
