rank,field_id,label,canonical_path,record_family,score,coverage,kind,dv_type,benchmark_relevance,selected_by_aqf_full,selected_by_aqf_topk_no_threshold,selected_by_frequency_only,selected_by_flattened_topk,selected_by_no_operator_awareness,selected_by_no_pruning,selected_by_random_topk_1,selected_by_random_topk_2,selected_by_random_topk_3,selected_by_random_topk_4,selected_by_random_topk_5,selected_by_random_topk_6,selected_by_random_topk_7,selected_by_random_topk_8,selected_by_random_topk_9,selected_by_random_topk_10
16,cf_18704e514938d4,Procedure,Procedure undertaken / Procedure list / Procedure,openEHR-EHR-COMPOSITION.hospitalisation.v1,8.39317888554798,1.0,coded,DV_CODED_TEXT,procedure,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False
17,cf_49533263f29569,reason for discharge,Patient discharge / Components / reason for discharge,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,8.382918109940737,1.0,coded,DV_CODED_TEXT,reason for discharge,True,True,True,True,True,True,False,False,False,True,True,False,False,True,False,True
18,cf_ba8421601b1980,Issue date,Authorization for hospital admission / Components / Issue date,openEHR-EHR-COMPOSITION.hospitalisation.v1,8.377974558624905,1.0,temporal,DV_DATE,,True,True,True,True,True,True,False,False,True,False,False,False,False,True,True,False
19,cf_1d8359b2d21168,State/province,Patient admission / Tree / Assigned patient location / Address / State/province,openEHR-EHR-COMPOSITION.hospitalisation.v1,8.376412058624902,1.0,coded,DV_CODED_TEXT,state; state province,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True
20,cf_ba09c313b94cba,ICU - Total,Authorization for hospital admission / Components / ICU - Total,openEHR-EHR-COMPOSITION.hospitalisation.v1,8.357662058624904,1.0,numeric,DV_COUNT,icu total,True,True,True,True,True,True,False,False,False,True,True,True,False,False,False,True
21,cf_7f3b6795a0e812,birth date,Demographic data / components / birth date,openEHR-EHR-COMPOSITION.demographic_data.v1,8.332991439389067,1.0,temporal,DV_DATE,birth date,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True
22,cf_0b6364bb149692,Procedure,Procedure undertaken / Procedure list / Procedure,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,8.310165706094583,1.0,coded,DV_CODED_TEXT,procedure,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True
23,cf_e7551706658b4a,gender,Demographic data / components / gender,openEHR-EHR-COMPOSITION.demographic_data.v1,8.302309621207248,1.0,coded,DV_CODED_TEXT,gender,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True
24,cf_19e1b0f55ef007,race,Demographic data / components / race,openEHR-EHR-COMPOSITION.demographic_data.v1,8.298900530298159,1.0,null,NULL_FLAVOUR,race,False,False,True,False,False,True,False,False,True,True,False,False,False,True,True,True
25,cf_4122372d727029,ethnic group,Demographic data / components / ethnic group,openEHR-EHR-COMPOSITION.demographic_data.v1,8.298900530298159,1.0,null,NULL_FLAVOUR,ethnic group,False,False,True,False,False,True,False,False,True,True,False,False,True,True,True,False
26,cf_7ab0248b87b82e,educational level,Demographic data / components / educational level,openEHR-EHR-COMPOSITION.demographic_data.v1,8.298900530298159,1.0,coded,DV_CODED_TEXT,educational level,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
27,cf_eee397355aecbe,nationality,Demographic data / components / nationality,openEHR-EHR-COMPOSITION.demographic_data.v1,8.298900530298159,1.0,coded,DV_CODED_TEXT,nationality,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,False
28,cf_5cd62eaa6e16a8,issue date,HCPA / components / General data / issue date,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,8.265707496035413,1.0,temporal,DV_DATE,,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,False
