variant,threshold,structural_expressivity,section_coverage,subgroup_coverage,field_coverage,complexity,utility_proxy,selected_fields
full,12,0.41164042886376634,0.5,0.5,0.36363636363636365,19.5,0.31491112352279227,12
no_structure_awareness,12,0.5439200266292407,0.625,0.35714285714285715,0.36363636363636365,19.5,0.3810509224055294,12
no_operator_specific_scoring,12,0.390861647303515,0.5,0.5,0.36363636363636365,19.5,0.3045217327426666,12
no_missingness_handling,12,0.3735498699560445,0.5,0.5,0.36363636363636365,19.5,0.29586584406893135,12
no_progressive_disclosure,12,0.41164042886376634,0.5,0.5,0.36363636363636365,19.5,0.2676744549943734,12
