composition_archetype,composition_label,entry_arch,entry_name,entry_type,subgroup_count,coverage_score,connectedness_score,knownness_score,entity_queriability
openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Outpatient high complexity procedures,openEHR-EHR-ADMIN_ENTRY.high_complexity_procedures_sus.v1,HCPA,ADMIN_ENTRY,4,1.0,1.0,0.9744491760785041,0.9948898352157008
openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Outpatient high complexity procedures,openEHR-EHR-ADMIN_ENTRY.patient_discharge.v1,Patient discharge,ADMIN_ENTRY,1,0.335016835016835,0.07692307692307693,0.6085248763456502,0.29938562794978274
openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Outpatient high complexity procedures,openEHR-EHR-EVALUATION.bariatric_surgery_evaluation.v1,Bariatric surgery evaluation,EVALUATION,1,0.2777777777777778,0.15384615384615385,0.44803507469425013,0.2684531687850039
openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Outpatient high complexity procedures,openEHR-EHR-EVALUATION.problem_diagnosis-sus.v1,Problem/Diagnosis,EVALUATION,4,0.8215488215488216,0.7692307692307693,0.8448206717045821,0.8078918732686554
openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Outpatient high complexity procedures,openEHR-EHR-ACTION.procedure-sus.v1,Procedure undertaken,ACTION,1,0.35353535353535354,0.38461538461538464,0.0,0.2937062937062937
openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Outpatient high complexity procedures,openEHR-EHR-OBSERVATION.body_mass_index.v1,Body mass index,OBSERVATION,1,0.08249158249158249,0.0,0.8920068624401793,0.215522584609248
openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Outpatient high complexity procedures,openEHR-EHR-OBSERVATION.body_weight.v1,Body weight,OBSERVATION,1,0.0,0.0,1.0,0.2
openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Outpatient high complexity procedures,openEHR-EHR-OBSERVATION.height.v1,Height/Length,OBSERVATION,1,0.0,0.0,1.0,0.2
