threshold,form_set_size,structural_expressivity,section_coverage,subgroup_coverage,field_coverage,complexity,selected_fields
2,2,0.0955252264495197,0.25,0.14285714285714285,0.06060606060606061,5.0,2
4,2,0.14754967595222562,0.25,0.2857142857142857,0.12121212121212122,8.0,4
6,3,0.21934084079816266,0.375,0.42857142857142855,0.18181818181818182,12.0,6
8,5,0.2970161025508809,0.625,0.5714285714285714,0.24242424242424243,17.0,8
10,3,0.3357519852299601,0.375,0.42857142857142855,0.30303030303030304,16.0,10
12,4,0.41164042886376634,0.5,0.5,0.36363636363636365,19.5,12
