rank,field_id,label,canonical_path,record_family,score,coverage,kind,dv_type,benchmark_relevance,selected_by_aqf_full,selected_by_aqf_topk_no_threshold,selected_by_frequency_only,selected_by_flattened_topk,selected_by_no_operator_awareness,selected_by_no_pruning,selected_by_random_topk_1,selected_by_random_topk_2,selected_by_random_topk_3,selected_by_random_topk_4,selected_by_random_topk_5,selected_by_random_topk_6,selected_by_random_topk_7,selected_by_random_topk_8,selected_by_random_topk_9,selected_by_random_topk_10
1,cf_7f3b6795a0e812,birth date,Demographic data / components / birth date,openEHR-EHR-COMPOSITION.demographic_data.v1,1.3666495719694534,1.0,temporal,DV_DATE,birth date,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True
2,cf_49398dcbba5447,Secondary Diagnosis,Problem/Diagnosis / structure / Secondary Diagnosis,openEHR-EHR-COMPOSITION.hospitalisation.v1,1.337664143901145,1.0,coded,DV_CODED_TEXT,problem,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True
3,cf_2db2fd852fb674,Problem,Problem/Diagnosis / structure / Problem,openEHR-EHR-COMPOSITION.hospitalisation.v1,1.2205664397484135,1.0,coded,DV_CODED_TEXT,problem,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
4,cf_22f759c45e42f4,Admit date/time,Patient admission / Tree / Admit date/time,openEHR-EHR-COMPOSITION.hospitalisation.v1,1.215331019597912,1.0,temporal,DV_DATE_TIME,admit date time,True,True,False,True,True,True,True,False,False,True,True,True,True,False,False,False
5,cf_ba8421601b1980,Issue date,Authorization for hospital admission / Components / Issue date,openEHR-EHR-COMPOSITION.hospitalisation.v1,1.210565394597912,1.0,temporal,DV_DATE,,True,True,True,True,True,True,False,False,True,False,False,False,False,True,True,False
6,cf_79ed78f34fef6f,date of discharge,Patient discharge / Components / date of discharge,openEHR-EHR-COMPOSITION.hospitalisation.v1,1.1763366285722707,1.0,temporal,DV_DATE_TIME,date of discharge,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,False
7,cf_9449e602105d68,Universal ID,Patient admission / Tree / Assigned patient location / Facility / Universal ID,openEHR-EHR-COMPOSITION.hospitalisation.v1,0.9748101862645786,1.0,coded,DV_CODED_TEXT,universal id,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,False
8,cf_18704e514938d4,Procedure,Procedure undertaken / Procedure list / Procedure,openEHR-EHR-COMPOSITION.hospitalisation.v1,0.9738256109440657,1.0,coded,DV_CODED_TEXT,procedure,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False
9,cf_5cd62eaa6e16a8,issue date,HCPA / components / General data / issue date,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.778669990186386,1.0,temporal,DV_DATE,,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,False
10,cf_16800b2d3f5ef6,patient age,HCPA / components / General data / patient age,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.7603647017248476,1.0,numeric,DV_COUNT,patient age,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True
11,cf_469c691048a0ce,date of discharge,Patient discharge / Components / date of discharge,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.72805095357396,1.0,temporal,DV_DATE_TIME,date of discharge,True,True,True,True,True,True,False,True,True,False,False,True,True,True,False,True
12,cf_1285e1e2c004f2,claim reason,Patient discharge / Components / claim reason,openEHR-EHR-COMPOSITION.hospitalisation.v1,0.6997933593415017,1.0,coded,DV_CODED_TEXT,claim reason,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False
13,cf_1d8359b2d21168,State/province,Patient admission / Tree / Assigned patient location / Address / State/province,openEHR-EHR-COMPOSITION.hospitalisation.v1,0.6959039362645785,1.0,coded,DV_CODED_TEXT,state; state province,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True
14,cf_ba09c313b94cba,ICU - Total,Authorization for hospital admission / Components / ICU - Total,openEHR-EHR-COMPOSITION.hospitalisation.v1,0.6949664362645787,1.0,numeric,DV_COUNT,icu total,True,True,True,True,True,True,False,False,False,True,True,True,False,False,False,True
15,cf_505d09ec39545c,duration of follow-up (months),Bariatric surgery evaluation / Components / duration of follow-up (months),openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.6934768770094988,0.5576923076923077,numeric,DV_COUNT,duration of follow up months,True,True,False,True,True,True,False,True,False,False,True,False,True,False,True,False
16,cf_e7551706658b4a,gender,Demographic data / components / gender,openEHR-EHR-COMPOSITION.demographic_data.v1,0.5878427537876352,1.0,coded,DV_CODED_TEXT,gender,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True
17,cf_2a67f6f1c22886,Hospital service,Patient admission / Tree / Hospital service,openEHR-EHR-COMPOSITION.hospitalisation.v1,0.5807476862645785,1.0,text,DV_TEXT,hospital service,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True
18,cf_c75844f7868470,Body Mass Index,Body mass index / Single / Body Mass Index,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.5756070237057513,0.5576923076923077,numeric,DV_QUANTITY,body mass index,True,True,False,True,True,True,False,True,False,True,False,True,False,False,False,False
19,cf_10f7d6c8e1d5c5,Admission type,Patient admission / Tree / Admission type,openEHR-EHR-COMPOSITION.hospitalisation.v1,0.5410862279312452,1.0,coded,DV_CODED_TEXT,admission type,True,True,False,True,True,True,False,False,True,False,True,True,False,True,False,False
20,cf_b87e8363f020f7,healthcare unit,HCPA / components / General data / healthcare unit,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.540701240186386,1.0,coded,DV_CODED_TEXT,,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,True
21,cf_bd9db9ae67063d,Problem,Problem/Diagnosis / structure / Problem,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.5269002951291439,1.0,coded,DV_CODED_TEXT,problem,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False
22,cf_0b6364bb149692,Procedure,Procedure undertaken / Procedure list / Procedure,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.5105082853047292,1.0,coded,DV_CODED_TEXT,procedure,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True
23,cf_80f721f9446bd3,death indicator,Patient discharge / Components / death indicator,openEHR-EHR-COMPOSITION.hospitalisation.v1,0.5014860676748351,1.0,boolean,DV_BOOLEAN,death indicator,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True
24,cf_19e1b0f55ef007,race,Demographic data / components / race,openEHR-EHR-COMPOSITION.demographic_data.v1,0.5013086628785443,1.0,null,NULL_FLAVOUR,race,False,False,True,False,False,True,False,False,True,True,False,False,False,True,True,True
25,cf_4122372d727029,ethnic group,Demographic data / components / ethnic group,openEHR-EHR-COMPOSITION.demographic_data.v1,0.5013086628785443,1.0,null,NULL_FLAVOUR,ethnic group,False,False,True,False,False,True,False,False,True,True,False,False,True,True,True,False
26,cf_7ab0248b87b82e,educational level,Demographic data / components / educational level,openEHR-EHR-COMPOSITION.demographic_data.v1,0.5013086628785443,1.0,coded,DV_CODED_TEXT,educational level,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
27,cf_eee397355aecbe,nationality,Demographic data / components / nationality,openEHR-EHR-COMPOSITION.demographic_data.v1,0.5013086628785443,1.0,coded,DV_CODED_TEXT,nationality,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,False
28,cf_49533263f29569,reason for discharge,Patient discharge / Components / reason for discharge,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.4739535978047292,1.0,coded,DV_CODED_TEXT,reason for discharge,True,True,True,True,True,True,False,False,False,True,True,False,False,True,False,True
29,cf_be52992cb12705,hospital infection,Patient discharge / Components / hospital infection,openEHR-EHR-COMPOSITION.hospitalisation.v1,0.46182460934150166,1.0,null,NULL_FLAVOUR,hospital infection,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True
30,cf_3db72fcc22b158,Patient class,Patient admission / Tree / Patient class,openEHR-EHR-COMPOSITION.hospitalisation.v1,0.4617633112645786,1.0,null,NULL_FLAVOUR,patient class,False,False,True,False,False,True,True,True,True,False,True,False,True,True,True,True
31,cf_8b431261fa7dca,State,HCPA / components / General data / State,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.4583274421094629,1.0,coded,DV_CODED_TEXT,state; state province,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True
32,cf_775d9002cb4e7b,reason for encounter,HCPA / components / General data / reason for encounter,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.45486977651117233,1.0,coded,DV_CODED_TEXT,reason for encounter,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False
33,cf_4e7e8ca2916a1e,Secondary Diagnosis,Problem/Diagnosis / structure / Secondary Diagnosis,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.44475747531309034,1.0,coded,DV_CODED_TEXT,problem,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True
34,cf_0a229c157b8d2a,Associated causes,Problem/Diagnosis / structure / Associated causes,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.44296399705222084,1.0,coded,DV_CODED_TEXT,problem,False,False,False,False,False,True,False,True,True,True,False,True,False,True,False,True
