method,rank,field_id,label,canonical_path,dv_type,operator_count,operators_exposed,valid_operator_count,invalid_or_unwanted_operator_count,invalid_or_unwanted_operators,weighted_operator_burden,score
random_topk_3,25,cf_af0c9a7d79fe64,Invaded regional linphonodes,Problem/Diagnosis / structure / Invaded regional linphonodes,DV_BOOLEAN,3,equals;is_known;is_unknown,3,0,,2.0,0.18840845978882925
random_topk_3,26,cf_8b431261fa7dca,State,HCPA / components / General data / State,DV_CODED_TEXT,6,equals;not_equals;in;contains;is_known;is_unknown,6,0,,5.5,0.4583274421094629
random_topk_3,27,cf_469c691048a0ce,date of discharge,Patient discharge / Components / date of discharge,DV_DATE_TIME,6,equals;before;after;between;is_known;is_unknown,6,0,,6.0,0.72805095357396
random_topk_3,28,cf_1d8359b2d21168,State/province,Patient admission / Tree / Assigned patient location / Address / State/province,DV_CODED_TEXT,6,equals;not_equals;in;contains;is_known;is_unknown,6,0,,5.5,0.6959039362645785
random_topk_3,29,cf_8f20b6e7578a41,Baros table,Bariatric surgery evaluation / Components / Baros table,DV_TEXT,4,equals;contains;is_known;is_unknown,4,0,,3.25,0.280639105806343
random_topk_4,1,cf_be52992cb12705,hospital infection,Patient discharge / Components / hospital infection,NULL_FLAVOUR,2,is_known;is_unknown,2,0,,1.0,0.46182460934150166
random_topk_4,2,cf_1d8359b2d21168,State/province,Patient admission / Tree / Assigned patient location / Address / State/province,DV_CODED_TEXT,6,equals;not_equals;in;contains;is_known;is_unknown,6,0,,5.5,0.6959039362645785
random_topk_4,3,cf_9449e602105d68,Universal ID,Patient admission / Tree / Assigned patient location / Facility / Universal ID,DV_CODED_TEXT,6,equals;not_equals;in;contains;is_known;is_unknown,6,0,,5.5,0.9748101862645786
random_topk_4,4,cf_c75844f7868470,Body Mass Index,Body mass index / Single / Body Mass Index,DV_QUANTITY,6,equals;>;<;between;is_known;is_unknown,6,0,,6.0,0.5756070237057513
random_topk_4,5,cf_bbec72e0a270f7,fields/insertions 2,Procedure undertaken / Procedure list / fields/insertions 2,DV_COUNT,6,equals;>;<;between;is_known;is_unknown,6,0,,6.0,0.22122041093255035
random_topk_4,6,cf_1285e1e2c004f2,claim reason,Patient discharge / Components / claim reason,DV_CODED_TEXT,6,equals;not_equals;in;contains;is_known;is_unknown,6,0,,5.5,0.6997933593415017
random_topk_4,7,cf_22f759c45e42f4,Admit date/time,Patient admission / Tree / Admit date/time,DV_DATE_TIME,6,equals;before;after;between;is_known;is_unknown,6,0,,6.0,1.215331019597912
random_topk_4,8,cf_19e1b0f55ef007,race,Demographic data / components / race,NULL_FLAVOUR,2,is_known;is_unknown,2,0,,1.0,0.5013086628785443
random_topk_4,9,cf_ec7d5ae391fa0a,date of beginning of chemotherapy,HCPA / components / chemotherapy / date of beginning of chemotherapy,DV_DATE,6,equals;before;after;between;is_known;is_unknown,6,0,,6.0,0.08827168794891935
random_topk_4,10,cf_ed2fd195fdc918,date of beginning of radiotherapy,HCPA / components / radiotherapy / date of beginning of radiotherapy,DV_DATE,6,equals;before;after;between;is_known;is_unknown,6,0,,6.0,0.20155307909905265
random_topk_4,11,cf_1b05aa3c7da77f,Height/Length,Height/Length / Simple / Height/Length,DV_QUANTITY,6,equals;>;<;between;is_known;is_unknown,6,0,,6.0,0.061476871284315365
random_topk_4,12,cf_18704e514938d4,Procedure,Procedure undertaken / Procedure list / Procedure,DV_CODED_TEXT,6,equals;not_equals;in;contains;is_known;is_unknown,6,0,,5.5,0.9738256109440657
random_topk_4,13,cf_49533263f29569,reason for discharge,Patient discharge / Components / reason for discharge,DV_CODED_TEXT,6,equals;not_equals;in;contains;is_known;is_unknown,6,0,,5.5,0.4739535978047292
