form_id,form_group,utility,complexity,max_depth,selected_field_count,filter_count,output_count,relationship_count
aqf_outpatient_high_complexity_procedures_59895,Outpatient high complexity procedures,8.80192841066482,24.0,5,19,12,7,417
aqf_demographic_data_50936,Demographic data,0.6063019390581718,5.0,3,2,1,1,3
